date,month,hour,dayofweek,tmpc,mw2day,mw7day,potential,poten_2,poten_7
2018-01-29 13:00:00,1,13,0,5.967,4027.35,5082.91,849.7138461538466,34.7538461538461,1090.313846153846
2018-01-29 14:00:00,1,14,0,5.508,4058.71,4941.78,741.9711538461543,36.64115384615434,919.711153846154
2018-01-29 15:00:00,1,15,0,5.195,4210.52,5047.18,485.3292307692318,0.0,762.839230769232
2018-01-29 16:00:00,1,16,0,4.981,4610.19,5480.72,456.64076923076846,0.0,765.9907692307688
2018-01-29 17:00:00,1,17,0,4.793,4471.91,5269.81,490.4938461538459,0.0,664.083846153846
2018-01-29 18:00:00,1,18,0,4.576,4167.6,4908.84,335.76346153846225,0.0,615.333461538462
2018-01-29 19:00:00,1,19,0,4.412,3902.52,4556.47,299.93923076923056,0.0,529.9092307692308
2018-01-29 20:00:00,1,20,0,4.302,3729.06,4227.42,543.32923076923,0.0,440.1792307692304
2018-01-29 21:00:00,1,21,0,4.229,3566.02,3927.17,237.53923076923093,19.75923076923073,380.9092307692308
2018-01-29 22:00:00,1,22,0,4.222,3362.72,3627.08,368.6665384615385,45.21653846153822,309.57653846153835
2018-01-29 23:00:00,1,23,0,4.286,3227.16,3401.96,314.5688461538461,72.8788461538461,247.67884615384628
2018-01-30 00:00:00,1,0,1,4.359,3130.45,3291.07,368.164615384615,37.13461538461479,197.7546153846152
2018-01-30 01:00:00,1,1,1,4.368,3017.6,3244.78,420.686923076923,3.71692307692274,230.89692307692303
2018-01-30 02:00:00,1,2,1,4.319,2971.62,3252.21,558.2730769230766,0.0,260.2330769230766
2018-01-30 03:00:00,1,3,1,4.212,2930.82,3328.74,689.3819230769232,0.0,330.811923076923
2018-01-30 04:00:00,1,4,1,4.029,2990.29,3581.69,953.913846153846,0.0,528.9038461538462
2018-01-30 05:00:00,1,5,1,3.817,3144.02,4239.44,1223.0657692307695,0.0,1036.1757692307692
2018-01-30 06:00:00,1,6,1,3.622,3388.02,4922.9,1733.4326923076924,0.0,1460.5626923076916
2018-01-30 07:00:00,1,7,1,3.581,3601.66,5107.98,1635.0442307692306,0.0,1368.8742307692305
2018-01-30 08:00:00,1,8,1,3.924,3665.52,5074.51,1515.3584615384616,0.0,1130.9684615384622
2018-01-30 09:00:00,1,9,1,4.421,3749.48,5130.93,1380.0003846153843,0.0,1054.2403846153852
2018-01-30 10:00:00,1,10,1,4.932,3774.56,5107.88,1245.7188461538462,0.0,1004.3988461538464
2018-01-30 11:00:00,1,11,1,5.321,3760.0,5069.02,1060.5065384615375,0.0,1009.8365384615386
2018-01-30 12:00:00,1,12,1,5.425,3697.26,5104.98,1174.2357692307687,0.0,1097.3457692307684
2018-01-30 13:00:00,1,13,1,5.211,3687.83,5036.14,1036.3638461538462,0.0,1043.5438461538463
2018-01-30 14:00:00,1,14,1,4.724,3739.36,4970.05,843.961153846154,0.0,947.9811538461544
2018-01-30 15:00:00,1,15,1,4.104,3901.23,5074.48,733.3192307692316,0.0,790.1392307692313
2018-01-30 16:00:00,1,16,1,3.751,4503.1,5404.27,796.2707692307686,0.0,689.540769230769
2018-01-30 17:00:00,1,17,1,3.65,4381.59,5210.09,756.8038461538454,0.0,604.3638461538458
2018-01-30 18:00:00,1,18,1,3.643,4099.68,4849.1,708.043461538462,0.0,555.5934615384622
2018-01-30 19:00:00,1,19,1,3.722,3884.82,4532.36,650.5792307692309,0.0,505.79923076923023
2018-01-30 20:00:00,1,20,1,3.807,3659.44,4231.63,624.3492307692304,0.0,444.3892307692304
2018-01-30 21:00:00,1,21,1,3.867,3431.55,3870.93,557.8392307692311,0.0,324.6692307692306
2018-01-30 22:00:00,1,22,1,3.876,3216.43,3596.37,428.95653846153846,0.0,278.8665384615383
2018-01-30 23:00:00,1,23,1,3.777,3063.43,3381.21,346.0588461538464,0.0,226.92884615384628
2018-01-31 00:00:00,1,0,2,3.588,2909.57,3266.89,207.5146153846149,0.0,173.57461538461484
2018-01-31 01:00:00,1,1,2,3.35,2800.18,3181.99,260.6769230769228,0.0,168.1069230769226
2018-01-31 02:00:00,1,2,2,3.174,2820.75,3155.81,318.43307692307644,0.0,163.83307692307653
2018-01-31 03:00:00,1,3,2,2.987,2889.76,3226.54,383.8419230769232,0.0,228.6119230769232
2018-01-31 04:00:00,1,4,2,2.786,3168.8,3383.19,629.9538461538459,116.01384615384632,330.4038461538462
2018-01-31 05:00:00,1,5,2,2.647,3809.87,4023.46,1017.3457692307692,606.6057692307695,820.1957692307697
2018-01-31 06:00:00,1,6,2,2.482,4442.53,4711.51,1454.7626923076923,980.1926923076916,1249.1726923076922
2018-01-31 07:00:00,1,7,2,2.182,4775.2,4965.65,1325.7442307692313,1036.0942307692308,1226.5442307692306
2018-01-31 08:00:00,1,8,2,2.117,4788.89,4941.26,1083.208461538462,845.3484615384623,997.7184615384622
2018-01-31 09:00:00,1,9,2,2.4,4913.26,4956.48,1048.7903846153845,836.5703846153851,879.7903846153845
2018-01-31 10:00:00,1,10,2,2.971,4857.29,4969.08,988.2688461538464,753.8088461538464,865.5988461538464
2018-01-31 11:00:00,1,11,2,3.888,4784.15,4859.99,960.4165384615384,724.9665384615378,800.8065384615379
2018-01-31 12:00:00,1,12,2,4.682,4819.07,4836.09,1038.4457692307687,811.4357692307685,828.455769230769
2018-01-31 13:00:00,1,13,2,5.086,4842.31,4753.14,930.0538461538458,849.7138461538466,760.5438461538465
2018-01-31 14:00:00,1,14,2,5.05,4764.04,4675.39,795.501153846154,741.9711538461543,653.3211538461546
2018-01-31 15:00:00,1,15,2,4.775,4769.67,4801.78,560.2492307692319,485.3292307692318,517.4392307692315
2018-01-31 16:00:00,1,16,2,4.434,5171.37,5223.94,524.9907692307688,456.64076923076846,509.21076923076816
2018-01-31 17:00:00,1,17,2,4.037,5096.22,4991.88,468.79384615384606,490.4938461538459,386.1538461538457
2018-01-31 18:00:00,1,18,2,3.582,4629.27,4701.98,436.90346153846167,335.76346153846225,408.4734615384614
2018-01-31 19:00:00,1,19,2,3.209,4326.5,4407.26,408.62923076923016,299.93923076923056,380.6992307692308
2018-01-31 20:00:00,1,20,2,2.963,4330.57,4090.35,375.5892307692302,543.32923076923,303.1092307692302
2018-01-31 21:00:00,1,21,2,2.82,3783.8,3753.57,320.88923076923083,237.53923076923093,207.3092307692309
2018-01-31 22:00:00,1,22,2,2.687,3686.17,3402.82,203.58653846153857,368.6665384615385,85.31653846153858
2018-01-31 23:00:00,1,23,2,2.524,3468.85,3174.4,159.42884615384628,314.5688461538461,20.11884615384633
2018-02-01 00:00:00,2,0,3,2.34,3461.48,3067.73,270.0227777777777,368.164615384615,0.0
2018-02-01 01:00:00,2,1,3,2.243,3434.57,3028.09,287.9855555555555,420.686923076923,14.206923076922976
2018-02-01 02:00:00,2,2,3,2.182,3550.25,3034.75,360.86111111111086,558.2730769230766,42.77307692307659
2018-02-01 03:00:00,2,3,3,2.171,3687.31,3127.76,375.32111111111135,689.3819230769232,129.83192307692343
2018-02-01 04:00:00,2,4,3,2.123,4006.7,3350.38,514.9283333333333,953.913846153846,297.59384615384624
2018-02-01 05:00:00,2,5,3,2.184,4426.33,3944.74,907.0672222222228,1223.0657692307695,741.4757692307694
2018-02-01 06:00:00,2,6,3,2.31,5195.77,4634.13,1338.4150000000004,1733.4326923076924,1171.792692307692
2018-02-01 07:00:00,2,7,3,2.453,5374.15,4888.02,1179.1388888888891,1635.0442307692306,1148.9142307692314
2018-02-01 08:00:00,2,8,3,2.767,5458.9,4922.9,1055.4283333333333,1515.3584615384616,979.3584615384616
2018-02-01 09:00:00,2,9,3,3.245,5456.69,4964.72,1024.874444444445,1380.0003846153843,888.0303846153852
2018-02-01 10:00:00,2,10,3,3.738,5349.2,4917.41,930.3833333333332,1245.7188461538462,813.9288461538463
2018-02-01 11:00:00,2,11,3,4.023,5119.69,4798.79,886.972777777778,1060.5065384615375,739.6065384615381
2018-02-01 12:00:00,2,12,3,4.076,5181.87,4782.55,961.157222222222,1174.2357692307687,774.915769230769
2018-02-01 13:00:00,2,13,3,3.889,5028.96,4748.1,972.7577777777768,1036.3638461538462,755.5038461538466
2018-02-01 14:00:00,2,14,3,3.52,4866.03,4663.79,858.7783333333327,843.961153846154,641.7211538461543
2018-02-01 15:00:00,2,15,3,3.087,5017.66,4834.84,830.6677777777768,733.3192307692316,550.4992307692319
2018-02-01 16:00:00,2,16,3,2.902,5511.0,5266.98,799.75,796.2707692307686,552.2507692307681
2018-02-01 17:00:00,2,17,3,2.799,5362.53,5096.98,517.3177777777773,756.8038461538454,491.2538461538452
2018-02-01 18:00:00,2,18,3,2.742,5001.55,4756.97,545.2094444444438,708.043461538462,463.46346153846207
2018-02-01 19:00:00,2,19,3,2.763,4677.14,4406.33,521.5166666666669,650.5792307692309,379.7692307692305
2018-02-01 20:00:00,2,20,3,2.803,4411.59,4102.62,478.2155555555555,624.3492307692304,315.37923076923016
2018-02-01 21:00:00,2,21,3,2.832,4104.1,3755.3,410.13388888888767,557.8392307692311,209.03923076923093
2018-02-01 22:00:00,2,22,3,2.818,3746.46,3463.72,299.1561111111114,428.95653846153846,146.21653846153822
2018-02-01 23:00:00,2,23,3,2.76,3500.34,3243.55,341.42555555555555,346.0588461538464,89.26884615384643
2018-02-02 00:00:00,2,0,4,2.727,3300.83,3127.48,337.9027777777774,207.5146153846149,34.16461538461499
2018-02-02 01:00:00,2,1,4,2.721,3274.56,3085.65,359.1555555555556,260.6769230769228,71.76692307692292
2018-02-02 02:00:00,2,2,4,2.708,3310.41,3094.58,412.75111111111073,318.43307692307644,102.60307692307651
2018-02-02 03:00:00,2,3,4,2.681,3381.77,3192.49,396.5811111111111,383.8419230769232,194.561923076923
2018-02-02 04:00:00,2,4,4,2.579,3682.74,3461.66,550.0683333333332,629.9538461538459,408.873846153846
2018-02-02 05:00:00,2,5,4,2.458,4220.61,4118.63,972.9272222222226,1017.3457692307692,915.3657692307696
2018-02-02 06:00:00,2,6,4,2.303,4917.1,4871.07,1374.8749999999995,1454.7626923076923,1408.7326923076917
2018-02-02 07:00:00,2,7,4,2.219,5064.85,5027.95,1327.908888888889,1325.7442307692313,1288.8442307692308
2018-02-02 08:00:00,2,8,4,2.303,5026.75,4999.18,1138.168333333333,1083.208461538462,1055.6384615384625
2018-02-02 09:00:00,2,9,4,2.321,5125.48,5065.88,1114.4044444444448,1048.7903846153845,989.190384615385
2018-02-02 10:00:00,2,10,4,2.326,5091.75,4989.73,1089.503333333333,988.2688461538464,886.248846153846
2018-02-02 11:00:00,2,11,4,2.284,5019.6,4833.6,974.6527777777774,960.4165384615384,774.4165384615385
2018-02-02 12:00:00,2,12,4,2.145,5046.08,4729.61,945.147222222222,1038.4457692307687,721.9757692307685
2018-02-02 13:00:00,2,13,4,1.889,4922.65,4598.76,824.5377777777767,930.0538461538458,606.1638461538464
2018-02-02 14:00:00,2,14,4,1.46,4817.57,4533.14,734.4283333333324,795.501153846154,511.0711538461546
2018-02-02 15:00:00,2,15,4,0.84,4844.59,4693.67,752.2577777777769,560.2492307692319,409.3292307692318
2018-02-02 16:00:00,2,16,4,0.41,5239.72,5108.84,746.79,524.9907692307688,394.1107692307687
2018-02-02 17:00:00,2,17,4,0.046,5074.52,4890.78,520.0677777777773,468.79384615384606,285.05384615384537
2018-02-02 18:00:00,2,18,4,-0.36,4730.41,4504.95,460.8394444444439,436.90346153846167,211.44346153846163
2018-02-02 19:00:00,2,19,4,-0.765,4435.19,4186.47,397.0566666666669,408.62923076923016,159.90923076923082
2018-02-02 20:00:00,2,20,4,-1.121,4162.83,3908.42,392.1655555555553,375.5892307692302,121.17923076923034
2018-02-02 21:00:00,2,21,4,-1.45,3867.15,3660.25,396.2638888888878,320.88923076923083,113.98923076923074
2018-02-02 22:00:00,2,22,4,-1.734,3521.09,3408.05,370.68611111111113,203.58653846153857,90.5465384615386
2018-02-02 23:00:00,2,23,4,-1.954,3313.71,3191.58,363.6855555555553,159.42884615384628,37.29884615384617
2018-02-03 00:00:00,2,0,5,-2.11,3198.51,3045.83,330.33277777777766,270.0227777777777,0.0
2018-02-03 01:00:00,2,1,5,-2.244,3158.59,2972.82,330.2055555555553,287.9855555555555,0.0
2018-02-03 02:00:00,2,2,5,-2.329,3212.44,2955.81,349.201111111111,360.86111111111086,0.0
2018-02-03 03:00:00,2,3,5,-2.385,3272.11,2987.24,329.181111111111,375.32111111111135,0.0
2018-02-03 04:00:00,2,4,5,-2.416,3516.42,3078.9,293.5683333333332,514.9283333333333,26.113846153846225
2018-02-03 05:00:00,2,5,5,-2.42,4156.52,3292.43,233.99722222222223,907.0672222222228,89.16576923076946
2018-02-03 06:00:00,2,6,5,-2.409,4897.02,3611.99,249.31500000000003,1338.4150000000004,149.65269230769172
2018-02-03 07:00:00,2,7,5,-2.213,5001.34,3908.54,354.75888888888903,1179.1388888888891,169.4342307692309
2018-02-03 08:00:00,2,8,5,-1.696,5056.34,4135.25,424.0283333333328,1055.4283333333333,191.708461538462
2018-02-03 09:00:00,2,9,5,-1.218,5102.27,4218.25,459.0244444444447,1024.874444444445,141.56038461538492
2018-02-03 10:00:00,2,10,5,-0.878,4993.2,4252.95,480.5133333333333,930.3833333333332,149.46884615384624
2018-02-03 11:00:00,2,11,5,-0.69,4892.22,4129.15,485.33277777777766,886.972777777778,69.96653846153777
2018-02-03 12:00:00,2,12,5,-0.613,4924.97,4088.74,478.1672222222214,961.157222222222,81.1057692307686
2018-02-03 13:00:00,2,13,5,-0.661,4875.59,4027.35,518.7877777777767,972.7577777777768,34.7538461538461
2018-02-03 14:00:00,2,14,5,-0.892,4742.54,4058.71,515.2283333333326,858.7783333333327,36.64115384615434
2018-02-03 15:00:00,2,15,5,-1.313,4818.65,4210.52,534.0377777777776,830.6677777777768,0.0
