date,tmpf,month,hour,dayofweek,mw2day,mw7day,potential
2019-01-15 14:00:00,37.9,1,14,1,34631.813,32324.208,5063.99441176471
2019-01-15 15:00:00,37.0,1,15,1,34936.91,32279.778,5122.862235294124
2019-01-15 16:00:00,37.9,1,16,1,36004.172,33329.228,5114.199117647058
2019-01-15 17:00:00,35.1,1,17,1,37782.003,35313.093,5795.623411764704
2019-01-15 18:00:00,34.0,1,18,1,37978.983,35371.561,6343.040117647062
2019-01-15 19:00:00,33.1,1,19,1,37303.494,34865.87,6566.29358823529
2019-01-15 20:00:00,30.9,1,20,1,36860.939,33994.287,6544.718647058817
2019-01-15 21:00:00,30.0,1,21,1,35427.658,32348.852,6301.056882352947
2019-01-15 22:00:00,30.0,1,22,1,33541.58,30158.709,5849.44347058823
2019-01-15 23:00:00,28.0,1,23,1,31881.955,28000.92,5610.737529411759
2019-01-16 00:00:00,28.0,1,0,2,30854.032,26618.478,6416.33576470588
2019-01-16 01:00:00,28.9,1,1,2,30342.443,25898.73,6750.19076470588
2019-01-16 02:00:00,28.0,1,2,2,30314.735,25637.622,6923.34194117647
2019-01-16 03:00:00,26.1,1,3,2,30634.865,25838.972,7325.317529411761
2019-01-16 04:00:00,28.0,1,4,2,31627.365,26696.575,7879.349823529414
2019-01-16 05:00:00,27.0,1,5,2,33919.106,28905.583,8820.236823529413
2019-01-16 06:00:00,27.0,1,6,2,37136.302,32402.17,10239.125294117644
2019-01-16 07:00:00,27.0,1,7,2,39099.988,34047.554,10551.011941176468
2019-01-16 08:00:00,30.0,1,8,2,39199.637,33676.279,9466.853411764709
2019-01-16 09:00:00,32.0,1,9,2,38533.949,33001.99,8423.375588235293
2019-01-16 10:00:00,32.0,1,10,2,37601.226,32401.447,7770.323588235296
2019-01-16 11:00:00,34.0,1,11,2,36563.227,32330.278,7162.650882352944
2019-01-16 12:00:00,35.1,1,12,2,35660.133,32373.335,6752.87988235294
2019-01-16 13:00:00,37.0,1,13,2,34919.124,32702.974,6545.800705882353
