ept,tmp,month,hour,dayofweek,kw_2,kw_7
2017-01-09 02:00:00,12.7,1,2,0,22734.0,12690.0
2017-01-09 03:00:00,12.9,1,3,0,22572.0,12528.0
2017-01-09 04:00:00,13.1,1,4,0,22626.0,12582.0
2017-01-09 05:00:00,12.6,1,5,0,22896.0,13122.0
2017-01-09 06:00:00,12.0,1,6,0,23490.0,13986.0
2017-01-09 07:00:00,11.3,1,7,0,24462.0,14202.0
2017-01-09 08:00:00,11.5,1,8,0,25218.0,14040.0
2017-01-09 09:00:00,17.4,1,9,0,26298.0,14580.0
2017-01-09 10:00:00,21.0,1,10,0,27810.0,15930.0
2017-01-09 11:00:00,23.7,1,11,0,28296.0,15660.0
2017-01-09 12:00:00,25.9,1,12,0,28782.0,15390.0
2017-01-09 13:00:00,27.1,1,13,0,29214.0,14904.0
2017-01-09 14:00:00,28.4,1,14,0,28998.0,15012.0
2017-01-09 15:00:00,29.1,1,15,0,28620.0,14904.0
2017-01-09 16:00:00,29.1,1,16,0,28944.0,15606.0
2017-01-09 17:00:00,28.4,1,17,0,29268.0,16740.0
2017-01-09 18:00:00,25.5,1,18,0,29430.0,17064.0
2017-01-09 19:00:00,23.4,1,19,0,28620.0,16956.0
2017-01-09 20:00:00,21.4,1,20,0,28188.0,17064.0
2017-01-09 21:00:00,19.9,1,21,0,27864.0,15930.0
2017-01-09 22:00:00,18.5,1,22,0,27216.0,15282.0
2017-01-09 23:00:00,18.0,1,23,0,26784.0,15066.0
2017-01-10 00:00:00,18.1,1,0,1,26676.0,15498.0
2017-01-10 01:00:00,20.7,1,1,1,26568.0,16200.0
2017-01-10 02:00:00,19.2,1,2,1,26622.0,16524.0
2017-01-10 03:00:00,22.6,1,3,1,26946.0,16740.0
2017-01-10 04:00:00,20.3,1,4,1,27324.0,17334.0
2017-01-10 05:00:00,19.4,1,5,1,28080.0,18630.0
2017-01-10 06:00:00,18.5,1,6,1,28404.0,20358.0
2017-01-10 07:00:00,20.1,1,7,1,29214.0,20844.0
2017-01-10 08:00:00,20.7,1,8,1,29700.0,20574.0
2017-01-10 09:00:00,25.5,1,9,1,29754.0,20574.0
2017-01-10 10:00:00,31.3,1,10,1,29592.0,20628.0
2017-01-10 11:00:00,34.5,1,11,1,28458.0,19818.0
2017-01-10 12:00:00,36.7,1,12,1,27270.0,19548.0
2017-01-10 13:00:00,39.2,1,13,1,25920.0,19764.0
2017-01-10 14:00:00,41.9,1,14,1,24840.0,19332.0
2017-01-10 15:00:00,42.8,1,15,1,25002.0,19332.0
2017-01-10 16:00:00,44.6,1,16,1,25974.0,19602.0
2017-01-10 17:00:00,43.5,1,17,1,28026.0,20520.0
2017-01-10 18:00:00,39.7,1,18,1,29268.0,21060.0
2017-01-10 19:00:00,37.8,1,19,1,29700.0,21222.0
2017-01-10 20:00:00,37.2,1,20,1,30024.0,20196.0
2017-01-10 21:00:00,36.5,1,21,1,29862.0,19440.0
2017-01-10 22:00:00,39.0,1,22,1,29430.0,18738.0
2017-01-10 23:00:00,42.6,1,23,1,28944.0,17226.0
2017-01-11 00:00:00,45.7,1,0,2,29646.0,16740.0
2017-01-11 01:00:00,46.2,1,1,2,30186.0,16848.0
2017-01-11 02:00:00,48.2,1,2,2,31212.0,16308.0
2017-01-11 03:00:00,47.7,1,3,2,31050.0,16200.0
2017-01-11 04:00:00,44.6,1,4,2,31644.0,16308.0
2017-01-11 05:00:00,42.4,1,5,2,32778.0,17766.0
2017-01-11 06:00:00,46.6,1,6,2,34830.0,19980.0
2017-01-11 07:00:00,43.9,1,7,2,35964.0,20952.0
2017-01-11 08:00:00,42.8,1,8,2,34776.0,20250.0
2017-01-11 09:00:00,47.3,1,9,2,32454.0,19710.0
2017-01-11 10:00:00,49.3,1,10,2,30618.0,19710.0
2017-01-11 11:00:00,52.2,1,11,2,28782.0,19602.0
2017-01-11 12:00:00,56.3,1,12,2,27108.0,19278.0
2017-01-11 13:00:00,59.0,1,13,2,26298.0,19386.0
2017-01-11 14:00:00,59.4,1,14,2,25650.0,19278.0
2017-01-11 15:00:00,59.7,1,15,2,26406.0,19170.0
2017-01-11 16:00:00,61.2,1,16,2,27432.0,20034.0
2017-01-11 17:00:00,56.5,1,17,2,29646.0,20682.0
2017-01-11 18:00:00,50.0,1,18,2,30834.0,21654.0
2017-01-11 19:00:00,50.0,1,19,2,31212.0,21546.0
2017-01-11 20:00:00,50.9,1,20,2,31266.0,21276.0
2017-01-11 21:00:00,51.3,1,21,2,30834.0,21600.0
2017-01-11 22:00:00,50.9,1,22,2,30564.0,20574.0
2017-01-11 23:00:00,54.1,1,23,2,29700.0,19386.0
2017-01-12 00:00:00,56.3,1,0,3,29646.0,19440.0
2017-01-12 01:00:00,56.3,1,1,3,29322.0,19602.0
2017-01-12 02:00:00,55.9,1,2,3,28836.0,20142.0
2017-01-12 03:00:00,55.8,1,3,3,28728.0,20250.0
2017-01-12 04:00:00,56.8,1,4,3,29430.0,21276.0
2017-01-12 05:00:00,58.3,1,5,3,31050.0,22896.0
2017-01-12 06:00:00,55.8,1,6,3,32886.0,25866.0
2017-01-12 07:00:00,55.0,1,7,3,33102.0,26460.0
2017-01-12 08:00:00,55.4,1,8,3,31536.0,25164.0
2017-01-12 09:00:00,60.4,1,9,3,28998.0,23328.0
2017-01-12 10:00:00,64.4,1,10,3,26244.0,22410.0
2017-01-12 11:00:00,67.3,1,11,3,24948.0,21438.0
2017-01-12 12:00:00,68.9,1,12,3,22842.0,20682.0
2017-01-12 13:00:00,70.7,1,13,3,22626.0,21006.0
2017-01-12 14:00:00,71.1,1,14,3,22518.0,21492.0
2017-01-12 15:00:00,69.8,1,15,3,22302.0,21816.0
2017-01-12 16:00:00,69.3,1,16,3,23922.0,22518.0
2017-01-12 17:00:00,66.6,1,17,3,25110.0,23976.0
2017-01-12 18:00:00,62.4,1,18,3,26136.0,24786.0
2017-01-12 19:00:00,63.0,1,19,3,26136.0,24894.0
2017-01-12 20:00:00,61.9,1,20,3,25326.0,24408.0
2017-01-12 21:00:00,58.6,1,21,3,24354.0,23112.0
2017-01-12 22:00:00,58.1,1,22,3,23922.0,21708.0
2017-01-12 23:00:00,58.1,1,23,3,22194.0,20520.0
2017-01-13 00:00:00,57.6,1,0,4,21168.0,20034.0
2017-01-13 01:00:00,57.2,1,1,4,21384.0,20412.0
2017-01-13 02:00:00,56.5,1,2,4,20898.0,20898.0
2017-01-13 03:00:00,54.5,1,3,4,20250.0,20574.0
2017-01-13 04:00:00,53.1,1,4,4,20412.0,21438.0
2017-01-13 05:00:00,53.2,1,5,4,21978.0,22788.0
2017-01-13 06:00:00,52.5,1,6,4,23706.0,24678.0
2017-01-13 07:00:00,53.6,1,7,4,24192.0,25488.0
2017-01-13 08:00:00,53.8,1,8,4,23382.0,24732.0
2017-01-13 09:00:00,58.1,1,9,4,22194.0,23760.0
2017-01-13 10:00:00,61.9,1,10,4,22086.0,23274.0
2017-01-13 11:00:00,65.3,1,11,4,22140.0,23274.0
2017-01-13 12:00:00,68.7,1,12,4,20844.0,22626.0
2017-01-13 13:00:00,70.9,1,13,4,20952.0,22680.0
2017-01-13 14:00:00,72.7,1,14,4,21060.0,23220.0
