Net,Temprature
13003.75848126456,5.9
12870.566615911956,5.8
12386.117489240256,5.7
11662.042754143838,5.6
10979.0927,5.3
10514.317590129163,5.0
10271.03211135839,5.0
10152.451343104156,5.2
10171.408623428437,5.4
10452.242392231637,5.6
11127.516017981607,5.6
12068.04842455475,5.4
12416.221994183348,4.3
12468.96781177681,4.3
12644.31124152921,4.4
12834.433367733762,4.7
12921.410016849171,5.0
12858.915262499264,5.4
12885.266975463523,5.8
12857.32896541699,5.6
12919.291850432724,5.7
13115.01661632533,5.5
13409.26726090991,5.3
13566.65061482836,5.1
13367.14932540223,5.0
13113.41625332422,4.5
12701.32996441408,4.4
12117.374986116141,4.2
11564.942299999999,3.8
11100.775266489063,3.6
10809.245845724045,3.0
10661.375102344202,2.7
10624.574672983008,2.3
10695.87648799339,2.2
10903.340337712878,2.0
11278.777150876103,1.8
11633.461333559591,1.9
11929.35819341933,2.0
12224.299108430983,2.0
12348.548896287355,2.0
12322.190741184651,2.1
12247.239293907938,2.2
12212.444927448165,2.2
12177.593510566352,2.4
12240.004471260683,2.8
12356.25801878482,3.0
12711.146257795262,3.2
12913.407643484938,3.3
12759.864179297676,3.7
12510.71801873196,3.8
12069.10686018122,3.7
11591.28756104228,3.7
11125.2901,3.8
10657.718203480003,3.6
10368.830100116991,3.4
10193.182004154556,3.5
10101.692101485169,3.4
10081.765908153076,3.6
10159.10441066489,3.6
10379.472585521205,3.8
10533.6405832549,3.8
10800.964643700325,3.5
11055.932527328261,3.4
11226.068617030012,3.6
11283.157579041135,3.8
11274.822888276343,4.2
11087.775472836152,4.6
10848.675586643962,4.4
10722.485029684509,4.9
10686.911809980105,5.4
11022.047468537452,6.4
11371.38298216043,7.1
11304.87324945681,8.4
11130.578970274306,11.0
10790.763649903223,11.1
10174.075513983464,10.1
9659.388899999998,9.1
9293.914729461176,7.7
9126.48621976031,4.9
9087.527958690112,3.2
9208.729141615719,2.2
9607.15421279524,1.7
10463.593213464084,1.8
11459.646761359472,5.9
11736.169293074943,5.1
11723.911214943955,4.6
11821.250412345084,5.6
11852.739728917404,5.2
11794.106891976417,5.0
11712.803637900628,5.6
11660.00230929993,6.1
11521.911981375722,6.5
11498.442649136337,6.5
11662.241892677335,7.1
12199.522732843889,7.7
12538.406251405499,8.4
12470.122591192485,9.4
12200.579116450883,9.7
11751.51124601014,9.2
11097.188239060844,9.1
10445.3876,8.3
10008.017402736183,7.9
9785.07445481855,7.7
9680.543251952393,7.7
9720.211723850152,7.8
10035.262112428562,7.6
10786.927301067157,7.1
11753.331351146544,7.0
12085.794194363862,7.2
12073.67277582123,7.2
12149.00915213432,7.3
12209.339374180903,7.3
12217.671379946483,6.9
12161.274432283217,6.5
12112.35268797986,5.9
12018.75705458792,5.2
11959.748496539723,5.0
12086.673706910547,5.2
12524.830209893096,5.9
12801.788807389377,6.4
12665.023323702047,6.4
12418.062565098824,6.5
11866.56528995423,6.4
11167.520368253601,6.4
10492.7421,6.4
