date,tmpf,month,hour,dayofweek,mw2day,mw7day,poten_2,poten_7
2019-01-13 10:00:00,32.0,1,10,6,14360.969,10274.497,3218.896999999997,0.0
2019-01-13 11:00:00,33.1,1,11,6,13699.139,9991.717,2748.405999999999,0.0
2019-01-13 12:00:00,33.1,1,12,6,13075.33,9843.514,2301.3168000000005,0.0
2019-01-13 13:00:00,33.1,1,13,6,12709.567,9767.762,2067.6753199999985,0.0
2019-01-13 14:00:00,34.0,1,14,6,12393.011,9617.681,1852.418520000001,0.0
2019-01-13 15:00:00,33.1,1,15,6,12454.436,9677.869,1849.217160000002,0.0
2019-01-13 16:00:00,33.1,1,16,6,13109.969,10119.522,2104.72912,0.0
2019-01-13 17:00:00,33.1,1,17,6,14314.698,11169.575,2508.64084,0.0
2019-01-13 18:00:00,32.0,1,18,6,14715.518,11683.197,2666.4029200000004,0.0
2019-01-13 19:00:00,32.0,1,19,6,14722.18,11668.189,2754.6093599999986,0.0
2019-01-13 20:00:00,32.0,1,20,6,14504.802,11631.365,2708.86012,0.0
2019-01-13 21:00:00,30.9,1,21,6,14319.429,11360.992,2889.45056,0.0
2019-01-13 22:00:00,30.9,1,22,6,13906.983,10842.608,2983.718640000001,0.0
2019-01-13 23:00:00,30.9,1,23,6,13502.17,10376.752,3071.95608,0.0
2019-01-14 00:00:00,30.0,1,0,0,13140.782,10162.782,3324.1111599999986,346.11115999999856
2019-01-14 01:00:00,30.0,1,1,0,12966.934,10102.667,3355.720439999999,491.4534399999993
2019-01-14 02:00:00,28.9,1,2,0,12847.97,10159.607,3317.456479999999,629.0934799999995
2019-01-14 03:00:00,28.9,1,3,0,12846.599,10407.385,3289.1147999999994,849.9007999999994
2019-01-14 04:00:00,28.9,1,4,0,12970.52,10935.96,3197.71364,1163.1536399999986
2019-01-14 05:00:00,28.0,1,5,0,13168.127,11873.007,2896.428600000001,1601.3086000000003
2019-01-14 06:00:00,28.0,1,6,0,13535.165,13124.473,2532.2750800000013,2121.5830800000003
2019-01-14 07:00:00,28.0,1,7,0,13907.768,13667.074,2445.377440000002,2204.6834400000025
2019-01-14 08:00:00,28.0,1,8,0,14254.578,13359.092,2757.8424400000004,1862.3564400000007
2019-01-14 09:00:00,30.0,1,9,0,14280.625,12992.348,2935.751120000001,1647.4741200000008
2019-01-14 10:00:00,30.0,1,10,0,14140.448,12793.014,2998.3759999999984,1650.9419999999973
2019-01-14 11:00:00,30.9,1,11,0,13888.934,12533.412,2938.200999999999,1582.679
2019-01-14 12:00:00,32.0,1,12,0,13531.383,12319.9,2757.3698000000004,1545.8868000000002
2019-01-14 13:00:00,33.1,1,13,0,13393.506,12204.402,2751.6143199999988,1562.5103199999994
2019-01-14 14:00:00,34.0,1,14,0,13337.264,12117.919,2796.67152,1577.3265200000003
2019-01-14 15:00:00,35.1,1,15,0,13527.23,12254.059,2922.011160000002,1648.8401600000016
2019-01-14 16:00:00,35.1,1,16,0,13966.01,12772.863,2960.770120000001,1767.6231200000002
2019-01-14 17:00:00,33.1,1,17,0,14656.003,13638.797,2849.9458400000003,1832.73984
2019-01-14 18:00:00,30.9,1,18,0,14803.97,13922.909,2754.85492,1873.79392
2019-01-14 19:00:00,30.9,1,19,0,14691.27,13654.231,2723.6993599999987,1686.660359999998
2019-01-14 20:00:00,30.9,1,20,0,14442.229,13337.023,2646.287119999999,1541.081119999999
2019-01-14 21:00:00,32.0,1,21,0,14122.25,12706.081,2692.271559999999,1276.1025599999994
2019-01-14 22:00:00,32.0,1,22,0,13633.499,12015.155,2710.2346400000006,1091.8906400000014
2019-01-14 23:00:00,32.0,1,23,0,13151.704,11175.905,2721.49008,745.6910800000005
2019-01-15 00:00:00,32.0,1,0,1,12797.61,10744.236,2980.93916,927.56516
2019-01-15 01:00:00,32.0,1,1,1,12579.46,10506.516,2968.246439999999,895.3024399999995
2019-01-15 02:00:00,32.0,1,2,1,12475.479,10353.785,2944.965479999999,823.2714799999994
2019-01-15 03:00:00,32.0,1,3,1,12379.645,10339.569,2822.1608,782.0847999999987
2019-01-15 04:00:00,32.0,1,4,1,12474.639,10653.223,2701.8326399999987,880.4166399999995
2019-01-15 05:00:00,32.0,1,5,1,12666.806,11353.36,2395.107600000001,1081.6616000000013
2019-01-15 06:00:00,30.9,1,6,1,12989.982,12460.216,1987.0920800000004,1457.3260800000007
2019-01-15 07:00:00,30.0,1,7,1,13460.057,12941.334,1997.6664400000027,1478.9434400000027
2019-01-15 08:00:00,32.0,1,8,1,13857.414,12640.678,2360.678440000001,1143.9424400000007
2019-01-15 09:00:00,33.1,1,9,1,14164.966,12194.677,2820.092120000001,849.8031200000005
2019-01-15 10:00:00,35.1,1,10,1,14320.18,11763.381,3178.1079999999984,621.3089999999975
2019-01-15 11:00:00,35.1,1,11,1,14300.45,11248.196,3349.717000000001,297.46299999999974
