Net,Temperature
1460.1476914999998,9.0
1392.1371295000001,10.0
1377.8000377,11.0
1391.7428161000003,12.0
1443.5643292,11.0
1562.9944302,9.0
1691.08702451,6.0
1845.199627,5.0
1889.1623920000002,4.0
1905.3350010000001,3.0
1889.236912,2.0
1850.30312,1.0
1803.1654899999999,0.0
1789.069451,0.0
1781.5956,0.0
1787.7378030000002,0.0
1803.5847,0.0
1824.0381350000002,-1.0
1890.4692260000002,-1.0
1988.146877,-1.0
2050.075173,0.0
1986.84272715,1.0
2031.47826,3.0
2035.982363783,6.0
2032.3631406799998,7.0
1966.7291249,7.0
1989.59015615,6.0
2051.0308214,6.0
2093.8815135100003,5.0
2048.7417600000003,4.0
2177.155487,3.0
2294.275902,2.0
2303.491836,2.0
2296.158654,1.0
2261.8414850000004,1.0
2198.137854,1.0
2131.053,1.0
2080.37824,0.0
2066.74168,0.0
2064.296987,0.0
2073.546964,0.0
2091.451059,0.0
2149.0303480000002,0.0
2233.712649,0.0
2275.955715,0.0
2165.10846421,1.0
2046.6801045,3.0
1936.5315745000003,7.0
1838.4277357,10.0
1771.3999829999998,13.0
1739.9595173,14.0
1741.7216469999998,15.0
1792.9939559,14.0
1896.8934754999998,11.0
2022.1819935899998,8.0
2160.097126,6.0
2185.6533449999997,6.0
2190.755853,5.0
2150.131144,4.0
2078.330633,3.0
2013.3442,3.0
1967.124389,2.0
1942.89132,1.0
1946.431362,1.0
1953.889175,1.0
1975.136736,0.0
2035.309388,0.0
2130.5342969999997,0.0
2201.12838,0.0
2144.83396692,2.0
2035.1702245000001,6.0
2042.3562501,10.0
1969.6279774000004,13.0
1845.8272434,14.0
1838.7192768999998,15.0
1844.9657722,15.0
1894.252593,14.0
1985.2562188,12.0
2114.65286508,9.0
2246.916393,8.0
2254.197913,7.0
2238.460004,6.0
2197.700939,5.0
2157.4341,3.0
2116.1395,2.0
2092.186289,2.0
2072.992407,1.0
2058.239161,1.0
2062.14086,0.0
2059.915746,0.0
2075.6368199999997,0.0
2090.619206,0.0
2118.905546,0.0
2110.22267033,1.0
1992.1216588999996,5.0
1934.0362662999996,9.0
1878.2745708000002,14.0
1824.6797164,17.0
1808.5934399,18.0
1811.1366223,19.0
1826.5704530000003,18.0
1881.9974310999999,15.0
2012.94408816,11.0
2150.411626,10.0
2179.390005,10.0
2180.575766,9.0
2152.725867,8.0
2119.0063920000002,7.0
2081.6647,6.0
2043.6032910000001,5.0
2031.81786,4.0
2021.516813,3.0
2014.461223,2.0
2010.71807,1.0
2028.016012,0.0
2043.296771,0.0
2080.187218,1.0
2026.97275766,3.0
1881.0434286,7.0
1750.2177512,10.0
1656.9215444,13.0
1589.5264009,16.0
1542.7238792,19.0
1528.9726992,20.0
1567.5857361999997,19.0
1649.1296527,16.0
1768.6139672699999,12.0
1908.1712129999999,10.0
1947.3134309999998,9.0
1952.067693,9.0
1931.7562059999998,8.0
1897.7321940000002,7.0
1861.51908,6.0
1849.009891,5.0
1839.8394399999997,5.0
1847.7003530000002,4.0
1863.877266,4.0
1893.643794,3.0
1965.1471980000001,3.0
2074.5233780000003,2.0
2167.304235,3.0
2083.16045872,5.0
1978.2694951,9.0
1921.6542341000004,13.0
1891.1430200999998,17.0
1865.5001358,20.0
1876.9915099999998,22.0
1902.4852099000002,23.0
1969.5813796999996,22.0
2081.0880931,18.0
2212.20348011,14.0
2327.6018649999996,12.0
2328.342957,11.0
2304.875563,10.0
2259.4423469999997,9.0
2193.945375,7.0
2130.6122,6.0
2098.3631800000003,5.0
2086.088302,4.0
2092.161227,3.0
2089.2760510000003,3.0
2108.424957,2.0
2167.70856,2.0
2261.061873,2.0
2311.1374260000002,3.0
2245.3165726400002,5.0
2114.5556586999996,8.0
2039.6420045999998,11.0
1956.8308523,13.0
1906.5922624000002,14.0
1914.1551572999997,15.0
1929.3476149,15.0
1981.1696247999998,14.0
2080.0876099,12.0
2210.21134154,8.0
2327.55697,7.0
2338.102978,6.0
2337.293376,5.0
2288.413214,4.0
2210.086473,3.0
2131.6433,2.0
