Net,Temperature
51256.22,-3.9
53018.61,-4.8
52712.117,-5.5
51914.647,-5.9
50754.851,-5.8
48821.049000000006,-5.6
46538.224,-5.4
44730.773,-5.3
43494.78400000001,-5.5
42730.03,-5.2
42445.743,-4.7
42566.858,-4.4
43191.044,-4.2
44301.815,-4.2
45858.887,-4.0
45191.01103,-3.7
43269.029567,-3.4
41334.201765000005,-3.0
40049.456633,-2.7
39390.730629,-2.5
39481.636931,-2.2
40319.964619,-1.7
42485.071866,-1.4
46236.739354000005,-0.9
51550.169,-0.6
53770.223,-0.2
53751.395,0.1
53183.892,0.3
51877.123,0.6
49862.065,0.3
48018.858,-0.2
46421.03400000001,0.1
45716.915,0.0
45558.114,0.2
45833.552,0.5
46807.68,0.1
49513.65900000001,0.0
53808.096,0.1
57484.793,0.2
58293.9303578,0.2
58101.3963081,0.0
57533.035421,-0.3
56573.45973,-0.7
56158.30646500001,-0.9
55714.654785,-1.2
56309.52731,-1.1
56663.03375450001,-0.8
57449.4647126,-1.1
59616.176,-1.5
61913.262,-1.3
61707.117,-1.4
60704.764,-1.8
58823.045,-2.9
56139.142,-4.4
53523.87,-5.7
51304.235,-6.7
50318.778,-7.5
49878.557,-7.6
50024.483,-7.7
50804.017,-8.0
53084.598,-8.3
57426.173,-8.4
60706.456,-8.6
60720.4519205,-9.1
59517.61113220001,-9.8
58161.218939,-10.5
57874.3950555,-10.8
56210.785401,-11.2
55670.215222,-11.2
54069.293346,-11.1
54617.007661,-11.4
56454.56666520001,-11.2
58758.717,-11.0
61787.261,-10.7
62011.37,-10.7
61425.249,-10.7
59954.176,-10.8
57491.687000000005,-10.9
54707.249,-11.0
53004.208,-11.2
52315.824,-11.4
51936.713,-11.4
52137.307,-11.4
53292.371,-11.5
55932.079000000005,-11.5
60352.29,-11.7
63568.994000000006,-11.7
62481.7167144,-12.0
58300.250202,-12.2
53087.437751,-12.6
49973.182953,-13.0
50142.611199,-13.3
49725.41506399999,-13.6
50748.796695,-12.9
49836.59241,-11.8
53667.273054,-11.0
57050.27,-9.3
60352.066,-8.4
60821.384000000005,-7.7
60480.792,-7.5
58813.995,-7.6
56080.82,-8.7
53187.905,-9.9
51304.405,-11.6
50123.694,-11.8
49540.569,-12.2
49383.115,-12.2
49983.333,-12.3
52174.423,-10.6
55969.913,-9.1
58780.68,-8.4
58626.7231382,-6.9
57513.7354374,-6.9
54549.987697,-6.8
55092.262535,-6.4
53926.01753,-6.1
53996.092275,-5.3
55204.6369372,-4.5
54936.0166852,-3.2
55504.1366497,-1.9
57362.477,-1.0
58910.609,-0.8
58599.893,-1.0
57601.177,-0.3
55726.724,-0.4
53055.46,-0.6
50333.264,0.0
48167.585,0.5
47064.85400000001,1.2
46620.23,0.8
46659.302,-1.0
47814.066,-2.3
50294.852,-3.1
54497.491,-3.6
57822.301,-4.1
56217.287637,-4.4
53380.700943,-4.8
51001.243398,-5.2
49134.380484,-5.3
47703.671048,-5.8
47785.913497,-7.1
48237.667067,-7.3
49618.20915,-7.7
52399.687683,-8.7
56910.138,-9.2
59852.967,-9.9
60112.016,-10.4
59653.593,-10.7
58639.539,-11.1
56773.69,-11.4
54632.48,-12.0
52891.175,-12.7
51890.15900000001,-13.4
51504.096,-13.8
51577.969000000005,-14.1
51785.402,-14.4
52968.47900000001,-14.7
54674.734,-15.0
56535.586,-15.4
56659.1724558,-16.0
53864.392828,-16.3
50419.25010500001,-16.0
46075.533370000005,-15.9
45737.583847,-15.9
47348.874562000005,-15.3
45696.365909,-13.7
48382.9082967,-11.9
49163.0090941,-10.2
51634.548,-8.7
54015.322,-7.3
53870.795,-6.1
53360.735,-5.5
52348.668,-5.7
50592.556,-6.1
48479.436,-6.4
46561.21,-6.2
45402.955,-6.0
44771.903,-5.9
44443.89599999999,-5.9
44367.892,-5.2
44907.059,-4.8
45831.538,-4.5
47292.074,-4.3
48304.30463200001,-4.2
49282.2770206,-4.1
49389.06735709999,-4.5
48588.3161,-5.0
48524.36934,-4.6
47734.462897,-3.4
48906.944621,-2.7
49514.253480900006,-2.3
50629.5866519,-1.5
52860.785,-0.6
53873.671,0.8
52882.632000000005,1.8
51857.528,2.6
50649.647,2.6
49219.467,1.9
