Net,Temprature
1225.0637210955622,1.7
1281.929946066889,2.1
1310.832985883254,2.1
1288.1429927845152,2.0
1239.531237643172,1.8
1188.5804252060127,1.6
1151.0901083372228,-0.8
1119.7169779353205,-2.3
1100.6846682178632,-2.3
1095.0187474309253,-1.4
1104.7121479860118,-0.1
1179.6188242797944,1.1
1287.7646900598936,2.1
1357.0104463279072,3.3
1365.2146483973993,4.0
1349.736269169971,4.4
1311.611778568324,4.2
1275.9827700000003,2.8
1259.259216679706,0.1
1268.922514014543,-1.7
1286.5158859351138,-2.4
1311.8475459291565,-3.1
1357.873303332554,-3.5
1446.8553526198023,-4.6
1583.306055991825,-4.6
1636.258486053074,-4.4
1578.740815974873,-5.0
1497.3118769802747,-6.6
1413.2182254657998,-6.8
1325.7302880906448,-7.4
1246.5104670498563,-7.3
1182.9131744917647,-7.2
1131.1647680217623,-4.6
1101.4702909291877,-1.7
1103.7198478913251,0.6
1154.0215432853347,2.3
1269.0563795094347,4.6
1304.7058120454742,7.1
1309.9176074323657,10.0
1283.423151957314,12.0
1226.8966875391827,13.4
1168.15189,11.5
1145.8344882180259,9.3
1143.2461345943602,7.6
1151.2308002516509,6.0
1163.8179319167589,5.1
1195.7166281619702,5.1
1271.4228260472416,4.7
1397.898288814115,4.8
1445.603012017225,4.4
1393.1870944278007,2.4
1315.1304311199071,2.6
1231.857396804833,3.1
1157.529232489459,0.9
1096.889831972982,-0.5
1055.0256693923147,-0.1
1021.8645017462828,1.4
1003.9487642560122,6.1
1013.959890423921,9.5
1049.397650428541,13.1
1153.7511872400921,14.9
1178.2139868530212,15.3
1194.003294778157,15.7
1175.152259826256,15.7
1131.210761285756,14.0
1093.36224,10.7
1082.0798039522342,7.5
1086.2292370816372,5.7
1100.6032845415623,4.2
1121.6572907651423,2.8
1161.5522997145547,2.1
1241.925145712794,1.6
1379.9182653750622,1.0
1441.7565007117223,0.5
1411.957877194859,0.3
1388.957793310041,-0.2
1367.5281592676079,-0.5
1346.659031881983,-0.8
1334.2022238551313,-0.8
1335.464216897271,-0.4
1335.359227154529,-0.8
1345.1943627691955,-0.3
1400.036493902706,0.2
1484.029220057519,0.1
1601.7688447755957,-1.5
1632.816170706379,-0.9
1638.533538231606,-0.7
1607.0565323315184,-0.6
1546.56171833173,-1.5
1500.08515,-3.3
1481.65186646843,-4.1
1481.418728660759,-4.5
1497.8158917141477,-4.9
1518.7143293424133,-5.7
1564.1316227042923,-6.2
1639.936069803345,-6.6
1738.898860630734,-6.9
1763.262780018088,-7.2
1718.9292358521877,-7.5
1682.104329057273,-7.9
1630.7756642232293,-8.7
1577.7708190579344,-9.0
1513.227689673258,-9.1
1451.068826342914,-9.0
1405.299664722834,-7.6
1384.6456942434536,-5.8
1398.0297320375155,-4.3
1445.8324750573702,-2.2
1523.3277463754598,-0.3
1537.1898667296884,0.6
1524.0786038188764,1.4
1470.2244976934203,1.8
1390.0072779845357,3.0
1318.9944299999997,2.5
1277.0318203067093,1.0
1260.996998444871,0.3
1266.812101193817,-0.3
1260.2311244926157,-0.3
1274.9208878081247,0.2
1338.747696085488,0.5
1461.0389843479097,0.6
1520.3349642944945,1.2
1516.8547617259717,1.2
1531.4664830566749,0.9
1539.80868032048,0.7
1534.5260216826955,0.9
1520.810444876648,0.6
1512.466932469474,-0.4
1509.2665215345996,-1.1
1516.36291998852,-0.7
1534.9456201084256,-0.7
1561.699553764671,-1.0
1597.365067219329,-0.7
1578.1839098364965,-0.8
1554.228531975249,-1.0
1502.1806722501312,-1.0
1463.21636033381,-0.9
1426.37068,-1.0
1393.823013571817,-1.1
1374.9459101769316,-1.2
1366.217951531086,-1.3
1368.682665909803,-1.2
1383.010486356781,-1.2
1412.041032789181,-1.2
1436.2353603076017,-1.2
1481.0903051121604,-1.1
1513.5322740941317,-1.1
1550.400053674247,-1.2
1564.4208837229523,-1.2
1556.6579934884603,-1.3
1532.692813876873,-1.3
1512.3163933853248,-1.7
1482.2478524875003,-2.8
1462.904269911195,-2.2
1457.1758549585638,-1.9
1477.9921110331309,-1.6
1518.37727668983,-1.5
1515.437448502593,-1.2
1495.713467742328,-0.2
1463.3772593374815,0.3
1408.620457545911,0.8
1354.1460999999997,0.8
1316.2687497345416,0.3
1289.6307013204118,-0.5
1274.4843074746352,0.0
1268.5964077945189,-0.2
1273.9326002589687,-0.6
1296.1073674726024,-0.3
1333.208880232478,0.1
1384.9075830049137,0.3
1415.2163858471065,0.5
1413.4150610682202,0.6
1362.9880832836227,0.8
1293.509768959702,1.1
1221.3985379858352,1.0
1155.785564148546,1.0
1101.194347899596,1.2
1067.681985517867,1.5
1054.176757248667,2.6
1079.8109546547937,3.7
1177.8739250994797,5.9
1216.7119108382883,9.2
1219.350077767093,11.8
1197.7170919288253,13.8
1151.322511016475,14.8
1098.1751899999997,13.3
1072.9123280904769,10.8
1071.5351902964637,7.7
1080.5671104029211,6.4
1103.1823672663083,3.9
1144.220950835569,3.9
1225.0288085250702,2.8
1364.873871599048,2.0
1433.69486071165,1.4
1410.862897548367,0.5
1394.1701942666407,0.7
1387.4745702350713,2.1
1383.5861754445277,2.5
1369.0642432408165,3.3
1361.5047608828447,3.4
1353.9616653758396,2.3
1374.7523134589062,1.8
1419.2459857939762,1.7
1469.802157468295,1.4
1531.374433009274,1.3
1541.2329529085105,1.5
1523.8808957840204,1.7
1481.5270776522823,1.8
1414.244810911148,1.1
1354.23968,0.0
1324.5193202775238,-0.5
1319.91457316884,-0.8
1322.477692019494,-1.0
1332.8785457398399,-1.2
1358.2658715880773,-1.5
1429.164235884768,-1.6
1557.568475575543,-1.4
1612.6954120649043,-1.4
1576.0476420871803,-1.4
1566.071780906541,-1.6
1560.9367540451708,-1.8
1528.2223258481729,-1.9
1486.321528835943,-1.9
1455.4297371770363,-2.1
1424.9324289737888,-2.2
1416.596059125359,-1.4
1421.3046559606628,-0.6
1447.345545484984,0.4
1518.4785588526086,0.8
1537.364492123329,1.7
1521.112691312809,2.4
