Net,Temprature
2206.8605057803925,3.9
2294.2759017984754,2.6
2303.4918360773486,2.2
2296.1586535173087,1.2
2261.841484894639,-1.5
2198.1378536665284,-2.1
2131.053,-2.3
2080.3782398373473,-2.2
2066.7416798268678,-2.3
2064.2969869565527,-2.6
2073.546964212565,-3.1
2091.4510591691555,-4.1
2149.0303484345277,-4.9
2233.7126491819135,-5.5
2275.9557146263105,-6.3
2235.726056036091,-6.8
2229.8522371592226,-6.9
2202.032891613916,-7.2
2155.6926440579737,-6.4
2114.0118830980123,-5.6
2081.603963699072,-6.2
2050.0950082291965,-6.0
2040.4320524323048,-4.5
2057.6620736772074,-2.5
2077.0031243727494,-0.3
2160.0971256263906,0.7
2185.6533454736714,3.2
2190.755852830037,4.1
2150.131144145973,3.7
2078.3306326206434,4.5
2013.3441999999995,4.3
1967.1243891991544,3.7
1942.8913197456577,3.1
1946.4313615812364,2.7
1953.8891751587623,3.3
1975.1367359553797,3.0
2035.3093881755196,1.8
2130.534296526984,0.7
2201.1283801239038,0.5
2193.2001339491976,0.2
2218.8022281674953,0.0
2228.7858611959978,0.6
2224.2068277333874,1.0
2199.955994325328,1.5
2190.1837516599016,2.0
2162.6972830964537,1.6
2150.6788399514967,1.0
2151.1539023742503,0.5
2172.8056391088658,0.6
2246.9163931834846,0.7
2254.197912732956,1.3
2238.4600043714763,1.8
2197.7009390877097,1.9
2157.4340997116474,1.4
2116.1395,1.0
2092.186288923233,0.3
2072.9924068329765,0.2
2058.2391606133906,-0.1
2062.140859539694,-0.5
2059.91574581586,-0.9
2075.6368197245242,-0.8
2090.6192059929017,-1.0
2118.905546360813,-1.2
2149.893686074253,-1.3
2173.4657628386876,-1.6
2198.6459487317043,-1.7
2192.5311862342646,-1.7
2163.9188752266477,-1.7
2144.993656832341,-1.9
2113.824423677467,-2.1
2070.693085247882,-2.4
2041.340713038736,-2.5
2069.971866807062,-1.5
2150.411626021032,-0.5
2179.3900051656547,0.3
2180.5757664755843,1.2
2152.725867050015,3.1
2119.006392313988,3.8
2081.6647,3.3
2043.603290971316,1.7
2031.817860447895,0.9
2021.5168131023263,0.4
2014.4612230063965,0.1
2010.7180696272071,-0.4
2028.0160116186037,-0.9
2043.29677122137,-1.3
2080.1872182926245,-1.7
2081.193126987815,-1.8
2061.573606376311,-1.5
2007.7152592705952,-1.9
1967.6472863946328,-1.6
1920.5084309415747,-2.9
1871.2785369016644,-3.4
1830.0211916725173,-1.7
1811.2045646304143,1.4
1807.9601563546169,1.4
1826.65608388581,9.0
1908.1712129412315,11.9
1947.3134308998808,15.0
1952.0676932223769,17.4
1931.75620648857,18.6
1897.732194272931,19.0
1861.51908,18.0
1849.0098906236935,14.8
1839.8394398475812,12.2
1847.7003528344865,10.5
1863.877265748628,8.4
1893.6437936659695,7.1
1965.1471983514252,5.5
2074.523378352688,6.4
2167.3042352010275,3.9
2158.556149615352,2.6
2160.835315953019,1.9
2185.396491965881,2.7
2203.3557254224547,2.3
2198.245476986282,3.3
2204.336496912671,4.0
2199.5306756031237,1.8
2210.2556877263787,2.3
2239.390228663922,3.0
