Sample ID,Hour,y,Zone,mu,sigma,sym_crps,sym_ord_dmu,sym_ord_dlogsigma,sym_nat_dmu,sym_nat_dlogsigma,sym_m11,sym_m12,sym_m22,num_crps,num_ord_dmu,num_ord_dlogsigma,num_nat_dmu,num_nat_dlogsigma,num_m11,num_m12,num_m22,err_crps,err_ord_dmu,err_ord_dlogsigma,err_nat_dmu,err_nat_dlogsigma,err_m11,err_m12,err_m22,err_crps%,err_ord_dmu%,err_ord_dlogsigma%,err_nat_dmu%,err_nat_dlogsigma%,err_m11%,err_m12%,err_m22%
364,4,3173.2,data/S3/SK.csv,3083.3533223986856,324.61545559226164,85.71890987605278,-0.21805004255132032,66.12783800199146,-0.00037897629512170593,6055.480160846238,0.001738024403423402,0,91.57232935188165,85.71890987247147,-0.21805001892971632,66.12829217759948,-0.00037897625405239484,6055.521750767181,0.0017380244034241321,2.1996798885968866e-16,91.57232935192071,3.5813059184874874e-09,2.3621604006152097e-08,0.0004541756080129744,4.10693110921255e-11,0.041589920943806646,7.301017429517387e-16,2.1996798885968866e-16,3.906563961209031e-11,4.177964843073668e-09,1.0833111394872813e-05,0.0006868145424613712,1.083690764324358e-05,0.0006868145851211007,4.2007565688585896e-11,inf,4.266096525946632e-11
365,5,3423.9,data/S3/SK.csv,3315.9154070646223,400.60678954708254,105.16221406678058,-0.2124955126345469,82.21597263434462,-0.0002992654091424525,9291.152158830262,0.0014083375476127526,0,113.00908888048608,105.16221406239808,-0.2124955074123136,82.21602100134994,-0.0002992654017711722,9291.157624745381,0.001408337547613345,2.0359628978408914e-16,113.00908888053371,4.382499696475861e-09,5.222233312451863e-09,4.83670053199603e-05,7.371280289717591e-12,0.005465915119202691,5.924080670460796e-16,2.0359628978408914e-16,4.7634785005357116e-11,4.1673710803510345e-09,2.457573455413687e-06,5.8829207719858114e-05,2.4631247262555523e-06,5.882924986873576e-05,4.2064352260596886e-11,inf,4.2151286659548045e-11
366,6,2451.2,data/S3/SK.csv,3441.610806845564,394.1980708764641,769.5284299431803,0.9880110684419389,-209.00840952474852,0.0014140747873409056,-23241.99069824071,0.001431233750823111,0,111.20122272156061,769.5284299360061,0.988011038316472,-209.008374127943,0.0014140747441935134,-23241.986762082437,0.0014312337508237153,1.5025443919940293e-16,111.20122272160741,7.1742078944225796e-09,3.012546689884488e-08,3.539680551511992e-05,4.314739212619989e-11,0.003936158271244494,6.043342909434202e-16,1.5025443919940293e-16,4.67963445771602e-11,9.322862697811311e-10,3.0491021670791354e-06,1.6935589144765304e-05,3.0512807747132194e-06,1.6935547055108495e-05,4.222470931780808e-11,inf,4.2082580957166884e-11
367,7,3401.5,data/S3/SK.csv,3503.4539704271633,383.70324645601227,100.41382307247594,0.20953780166993852,79.05061223764623,0.00030810019501679563,8556.492608939903,0.0014703800104866587,0,108.24068741196983,100.41382306857315,0.2095377880095839,79.05059981958212,0.0003081001749310129,8556.491264803739,0.0014703800104872774,-4.9437208414522415e-40,108.24068741201579,3.902783873854787e-09,1.3660354625244508e-08,1.2418064116559435e-05,2.0085782754912518e-11,0.0013441361643344862,6.186457596202288e-16,4.9437208414522415e-40,4.595790414896328e-11,3.886699813269599e-09,6.519279345481603e-06,1.5709004351829154e-05,6.51923727403599e-06,1.5708961904906224e-05,4.207386901400221e-11,inf,4.245899139022006e-11
368,8,3811.8,data/S3/SK.csv,3498.395436308872,389.59801811638874,186.5332451250882,-0.5788516596453825,5.118493292041651,-0.0008382539479286896,562.5406950095424,0.0014481325810523247,0,109.9035717960583,186.53324511941173,-0.5788515409221873,5.1185348153674415,-0.0008382537760024534,562.545258571597,0.001448132581052935,-6.600047150591182e-17,109.90357179610466,5.6764690725685796e-09,1.187231952748391e-07,4.152332579021589e-05,1.7192623616001795e-10,0.004563562054499926,6.101889826748419e-16,6.600047150591182e-17,4.6355808080988936e-11,3.0431406845262194e-09,2.051012436373968e-05,0.0008112411880030651,2.0510041925223803e-05,0.0008112412301873579,4.2136265053261324e-11,inf,4.217861833190347e-11
369,9,3687.9,data/S3/SK.csv,3463.9122946330776,358.8745224845099,137.89677038108704,-0.4674639158837599,33.190600520447596,-0.0007349038605476533,3360.1046669464768,0.001572108211086811,0,101.23663369321778,137.8967703763287,-0.46746384896323434,33.190615648830146,-0.0007349037552982727,3360.106198494439,0.0015721082110874759,1.3071077412404965e-15,101.23663369326115,4.7583341711288085e-09,6.692052556545036e-08,1.5128382550244623e-05,1.0524938060842148e-10,0.001531547962258628,6.648327721681113e-16,1.3071077412404965e-15,4.3371528590796515e-11,3.450649466248434e-09,1.43156558809324e-05,4.5580321877347605e-05,1.4321516902903358e-05,4.558036472269881e-05,4.2289250032509345e-11,inf,4.2841733282269474e-11
370,10,3320.6,data/S3/SK.csv,3449.4322015334064,382.59099594239206,106.55498550803506,0.2636841560997364,72.58397516822761,0.00038884306163977867,7833.7654136616475,0.001474654629960785,0,107.92692733492976,106.55498550408058,0.263684114543139,72.58399043913187,0.0003888430003700753,7833.767061806739,0.0014746546299614085,1.620335894430212e-16,107.92692733497546,3.954482963308692e-09,4.155659738547257e-08,1.5270904256681206e-05,6.126970334080842e-11,0.0016481450911669526,6.2341624917916505e-16,1.620335894430212e-16,4.5702108764089644e-11,3.711213458905209e-09,1.5759990285405743e-05,2.1038947262516122e-05,1.5756923392802677e-05,2.103898960636069e-05,4.227540717081282e-11,inf,4.2345418231228097e-11
371,11,3811.9,data/S3/SK.csv,3398.8235213581597,393.2755750140185,250.68052514217877,-0.7064421656485937,-41.134117008058,-0.0010134555425254876,-4563.45972301997,0.0014345909570601875,0,110.94099144333175,250.68052513573016,-0.7064420799451909,-41.134137046706144,-0.0010134554195697372,-4563.461946129376,0.0014345909570607927,-1.6655868469362686e-16,110.9409914433783,6.448601652664365e-09,8.570340281899291e-08,2.0038648145259685e-05,1.2295575039893147e-10,0.0022231094062590273,6.052016526814086e-16,1.6655868469362686e-16,4.654054919228656e-11,2.5724382255091033e-09,1.2131694140921996e-05,4.8715396373609286e-05,1.2132327984761033e-05,4.871543831196204e-05,4.2186356306163276e-11,inf,4.1950724062223026e-11
372,12,3358.6,data/S3/SK.csv,3361.0853231106244,407.47603494311693,95.23115016912263,0.0048665159996118534,95.21905530444056,6.7381573385850585e-06,10945.13210785737,0.001384595743468733,0,114.94686723012407,95.23115016500174,0.004866521408075641,95.21904725368941,6.738164805761963e-06,10945.131182453339,0.0013845957434693186,-2.24344657428687e-16,114.94686723017229,4.1208920720237074e-09,5.4084637879370234e-09,8.050751148402924e-06,7.46717690461242e-12,0.0009254040305677336,5.856860135766695e-16,2.24344657428687e-16,4.82174300486804e-11,4.3272522328096895e-09,0.00011113625822597512,8.454979019338659e-06,0.0001108192719373402,8.454937057391916e-06,4.230014546407534e-11,inf,4.1947580835020857e-11
373,13,3678.2,data/S3/SK.csv,3334.2836801752464,407.938933980081,204.60986512602534,-0.6008041825164465,-2.0164982603503794,-0.0008309269679668657,-232.05347498321757,0.0013830246062644875,0,115.07744863756878,204.60986511999621,-0.6008041282257182,-2.016508144469634,-0.0008309268928832326,-232.0546124225412,0.0013830246062650727,7.083523209752972e-16,115.07744863761727,6.0291256431810325e-09,5.42907283573868e-08,9.884119254621737e-06,7.508363310433641e-11,0.0011374393236280866,5.852523327076753e-16,7.083523209752972e-16,4.8487436288269237e-11,2.9466446495468406e-09,9.03634327743726e-06,0.0004901625480650952,9.036129046100533e-06,0.0004901625902005337,4.231684165681088e-11,inf,4.213461183083597e-11
