Demand,Normalized_net,Temprature
341.4,0.532776773,-16.1
352.0,0.549318758,-17.0
390.8,0.609868667,-17.9
430.6,0.67197914,-18.7
449.5232535,0.7015101,-19.1
424.9649227,0.663185237,-19.3
407.0957524,0.635299242,-19.4
389.7261008,0.608192778,-19.4
374.6444054,0.584656817,-19.2
363.9305534,0.567937158,-18.4
360.2874844,0.562251913,-16.8
363.9895375,0.568029207,-15.3
383.8062714,0.598954501,-13.0
418.7217598,0.653442378,-10.2
468.7,0.731436653,-7.5
483.1,0.753908784,-5.8
465.1,0.72581862,-5.8
448.3,0.699601134,-5.9
418.4,0.652940251,-5.8
373.6,0.583026955,-5.9
357.8,0.558370033,-6.9
316.2,0.493450544,-8.6
310.3,0.484243212,-9.5
306.5,0.478313066,-10.3
306.4,0.47815701,-10.5
315.7,0.492670261,-10.4
336.4,0.52497395,-10.2
384.2,0.59956894,-9.7
399.8,0.623913749,-9.5
385.7409195,0.601973644,-9.5
375.2110025,0.585541028,-9.7
350.4504212,0.54690054,-9.8
337.3532929,0.526461625,-10.4
327.2953575,0.510765566,-10.9
325.7633339,0.508374744,-10.6
332.0380245,0.518166805,-8.7
353.0338198,0.550932101,-6.1
383.0855963,0.597829841,-4.8
430.8,0.672291253,-4.0
448.5,0.699913247,-3.5
445.3,0.69491944,-2.9
436.5,0.681186471,-2.6
413.4,0.645137428,-2.9
362.5,0.565704687,-4.8
346.7,0.541047765,-6.1
317.5,0.495479278,-7.7
308.7,0.481746309,-8.3
298.1,0.465204323,-8.6
291.9,0.455528822,-7.5
292.6,0.456621218,-4.9
330.8,0.516234787,-4.3
373.4,0.582714842,-4.5
386.4672961,0.603107202,-4.2
385.9060759,0.602231382,-3.8
344.5854927,0.53774794,-4.0
325.2799866,0.50762045,-4.3
315.2286775,0.491934732,-3.9
308.2672457,0.481070968,-3.4
309.7594432,0.483399638,-2.8
323.7025622,0.505158777,-1.5
354.0061843,0.552449538,0.5
393.5848041,0.614214534,2.0
433.8,0.676972947,1.4
445.5,0.695231553,0.4
443.0,0.691330142,-0.7
434.1,0.677441116,-2.6
415.9,0.64903884,-4.3
396.8,0.619232055,-5.5
