Demand,Normalized_net,Temprature
1072.9,0.492669079,-0.6
999.4,0.458918331,-0.5
946.1,0.434443299,0.0
928.7,0.426453326,-0.1
928.2,0.426223729,-0.4
949.9,0.436188235,0.0
970.1,0.445463951,0.1
1009.6,0.463602108,-0.3
1029.068156,0.472541766,-0.3
1005.673001,0.461798854,-1.1
987.8191872,0.453600493,-1.2
973.3681968,0.446964687,-1.0
986.5296893,0.453008363,-0.9
998.3483765,0.458435432,-1.0
995.1580406,0.456970449,-1.1
1018.557573,0.46771537,-0.7
1072.107963,0.49230538,-0.3
1184.340934,0.54384207,0.0
1312.3,0.602600086,0.1
1320.9,0.606549153,0.5
1291.0,0.592819257,0.9
1245.5,0.571925937,0.8
1197.6,0.549930551,0.7
1119.8,0.51420527,0.3
1040.2,0.47765344,-0.4
968.6,0.44477516,-1.3
921.5,0.42314713,-2.1
905.5,0.415800029,-2.3
886.5,0.407075345,-1.9
889.8,0.408590685,-1.3
903.3,0.414789802,-1.0
940.5,0.431871813,-0.8
981.2685678,0.450592489,-0.4
995.8538449,0.457289958,-0.3
988.3653923,0.453851307,-0.2
958.3963177,0.440089692,-0.1
963.4073265,0.442390717,0.2
966.7055763,0.443905253,0.4
984.4971086,0.452075015,0.5
1048.060171,0.481262782,1.4
1104.185497,0.507035186,1.3
1181.575199,0.542572061,1.2
1306.8,0.600074519,0.7
1345.7,0.61793716,0.6
1315.1,0.603885828,0.6
1279.5,0.587538527,0.0
1221.7,0.560997123,-1.1
1142.5,0.52462897,-1.8
1064.4,0.488765931,-3.0
1005.9,0.461903091,-4.3
981.1,0.450515083,-6.1
957.5,0.439678109,-7.2
956.5,0.439218915,-8.0
977.5,0.448861986,-8.6
1056.0,0.484908703,-8.6
1186.4,0.54478758,-8.9
1242.047521,0.57034058,-9.3
1200.004201,0.551034546,-9.5
1171.102616,0.537763116,-9.8
1160.083526,0.532703217,-9.9
1153.372751,0.529621671,-10.2
1159.466246,0.532419766,-10.4
1189.078934,0.54601773,-10.1
1226.193471,0.563060497,-9.7
1257.989624,0.577661095,-8.9
1346.963082,0.61851716,-7.2
1488.4,0.683464122,-6.5
1493.2,0.685668253,-5.8
1439.5,0.661009543,-5.8
1372.8,0.630381313,-7.0
1297.1,0.595620339,-8.1
1212.5,0.55677254,-8.6
1125.2,0.516684917,-8.9
1060.2,0.486837317,-8.8
1015.0,0.466081755,-8.4
999.9,0.459147928,-8.5
998.2,0.458367298,-8.6
1024.4,0.470398177,-8.8
1035.6,0.475541148,-8.8
1080.2,0.496021194,-9.0
1111.093925,0.510207494,-9.4
1094.743549,0.502699502,-9.8
1088.5854,0.499871718,-10.1
1097.135722,0.503797973,-10.1
1102.11642,0.506085079,-10.1
1104.730167,0.507285295,-10.2
1100.232384,0.505219941,-10.4
