Demand,Normalized_net,Temperature
890.3,0.645841871,-11
885,0.641997143,-11
856.8,0.621540285,-12
810.2,0.587735689,-12
750,0.544065375,-12
684.8,0.496767959,-13
642.7,0.466227756,-13
618.9,0.448962748,-13
604.3,0.438371608,-13
598.9,0.434454338,-12
605.1,0.438951945,-11
637.1,0.462165401,-11
713.7,0.517732611,-11
788.18026,0.571762119,-10
783.1733708,0.568130018,-9
770.0456409,0.558606894,-7
769.4521934,0.558176395,-5
765.1642741,0.555065851,-3
722.7425178,0.524292239,-2
727.6878892,0.527879713,-2
720.3184505,0.522533771,-2
789.5764112,0.572774915,-3
820.9440525,0.595529645,-4
872.6,0.633001929,-5
875.8,0.635323274,-6
858.9,0.623063668,-7
826.1,0.599269875,-7
783.4,0.56829442,-7
715.9,0.519328536,-8
646.6,0.469056895,-8
604.8,0.438734319,-8
587.8,0.42640217,-8
578.6,0.419728301,-9
558.9,0.405437518,-9
581.2,0.421614395,-9
606.4,0.439894991,-9
688.6,0.499524557,-9
754.5005087,0.547330136,-8
748.3690114,0.542882223,-6
712.1869095,0.516634984,-4
692.1664507,0.502111733,-2
645.5276941,0.468279023,-1
639.4860438,0.463896286,0
646.8569405,0.469243285,0
661.3690483,0.479770666,-1
703.0052409,0.509974414,-2
771.7310037,0.559829491,-4
844.5,0.612617612,-5
855.7,0.620742322,-5
841.5,0.610441351,-5
813.4,0.590057035,-6
767.7,0.556905318,-6
703.8,0.510550948,-6
641,0.464994541,-6
599.7,0.435034674,-7
575,0.417116788,-7
562.5,0.408049031,-7
560.8,0.406815817,-7
562.8,0.408266658,-7
596.1,0.43242316,-7
675.9,0.490311716,-6
737.4555311,0.53496536,-4
711.4801646,0.516122297,-2
703.2789059,0.510172936,0
650.3868328,0.471803942,0
633.5664682,0.459602104,1
648.34132,0.470320085,1
646.262064,0.46881175,0
655.2474123,0.475329906,0
698.3970429,0.506631532,-1
765.1430451,0.555050451,-3
842,0.610804061,-4
849.5,0.616244715,-5
833.1,0.604347819,-6
809.9,0.587518063,-7
773.8,0.561330383,-8
723.3,0.524696648,-8
672.8,0.488062913,-9
624.5,0.453025102,-10
593.3,0.430391983,-11
570.9,0.414142564,-11
569.9,0.413417143,-11
571.3,0.414432732,-12
582.8,0.422775068,-12
609.4,0.442071253,-12
627.8888476,0.455483442,-11
626.2845208,0.45431963,-9
617.8523239,0.448202742,-7
616.2560241,0.447044753,-5
602.4952371,0.437062396,-4
592.9509108,0.430138746,-3
587.5938074,0.426252594,-3
608.1260266,0.441147086,-3
650.9838856,0.472237056,-4
712.70084,0.5170078,-5
785.7,0.569962887,-5
797.6,0.578595391,-5
783.9,0.56865713,-5
761.1,0.552117543,-5
740.6,0.537246423,-5
699.6,0.507504182,-5
653.5,0.474062297,-5
615,0.446133608,-5
587.5,0.426184544,-5
568,0.412038844,-4
556.6,0.40376905,-3
556.4,0.403623966,-1
565.9,0.410515461,0
580.7,0.421251685,0
600.5,0.43561501,1
632.5,0.458828466,2
668.9734156,0.48528703,2
698.8185873,0.506937329,3
721.0906874,0.523093967,4
727.0204556,0.527395543,4
728.8527815,0.528724749,4
733.7812222,0.532299941,4
742.25732,0.538448676,3
761.9,0.552697879,2
787.1,0.570978476,1
781.1,0.566625953,1
764.1,0.554293804,1
743.3,0.539205058,0
712.1,0.516571938,0
667.7,0.484363268,0
617.3,0.447802075,0
586.4,0.425386581,0
562.7,0.408194116,0
548,0.397530434,-1
540.2,0.391872154,-1
542.9,0.39383079,-1
561.6,0.407396153,-2
605.4,0.439169571,-2
632.3936373,0.458751309,-1
624.1405312,0.452764336,0
666.4141251,0.483430468,1
674.8747731,0.489567996,2
663.6315819,0.481411954,2
718.3685067,0.521119242,3
726.1485259,0.526763027,2
729.5176624,0.529207068,2
738.6160501,0.535807225,1
765.5,0.555309393,0
816.1,0.59201567,0
815.2,0.591362792,0
800,0.5803364,-1
775.3,0.562418514,-2
736.4,0.534199656,-2
668.8,0.485161231,-3
613.4,0.444972935,-3
566.1,0.410660545,-3
538.6,0.390711481,-3
525.2,0.380990847,-3
518.6,0.376203071,-4
524.4,0.38041051,-4
566.3,0.410805629,-4
650.5,0.471886035,-4
715.3688634,0.518943239,-3
723.7365418,0.525013324,-1
661.4665231,0.479841376,0
634.7140194,0.460434561,0
662.4187238,0.480532122,0
647.4415104,0.469667344,0
668.0764346,0.484636341,1
706.9380161,0.512827329,0
730.1837246,0.529690243,0
781.7010719,0.567061983,0
833.6,0.604710529,-1
838.1,0.607974921,-1
823.9,0.59767395,-2
790.5,0.573444905,-3
748.6,0.543049787,-4
684,0.496187622,-5
619.6,0.449470542,-6
573.6,0.416101199,-6
551.3,0.399924322,-7
540.6,0.392162322,-7
538.5,0.390638939,-8
549.6,0.398691107,-9
592.7,0.429956731,-9
671.8,0.487337492,-9
740.9748172,0.537518323,-8
724.4775463,0.525550864,-6
