Demand,Normalized_net,Temperature
2178.597087,0.413159364,-7
2371.305396,0.449705471,-7
2263.141881,0.429192835,-6
2200.903184,0.417389597,-6
2088.59389,0.396090736,-6
2107.218211,0.39962274,-5
2241.673915,0.42512155,-5
2392.080627,0.453645383,-6
2622.750399,0.49739068,-6
2842.3,0.539027096,-6
2834.9,0.537623725,-7
2744.8,0.520536739,-8
2651.1,0.502767032,-9
2537.5,0.481223395,-10
2379.5,0.451259534,-10
2209.5,0.419019937,-10
2058.1,0.390307732,-10
1946.8,0.369200278,-11
1886.8,0.357821597,-11
1848.4,0.350539241,-11
1845.6,0.350008236,-11
1880.3,0.356588906,-12
1951.1,0.37001575,-12
1958.165578,0.3713557,-11
1902.125113,0.360727923,-11
1827.06521,0.346493211,-10
1861.44491,0.353013139,-9
1733.761847,0.328798724,-8
1789.167253,0.339306065,-7
1839.696956,0.348888755,-7
1933.144838,0.366610649,-6
2093.401601,0.397002493,-6
2353.107317,0.446254302,-7
2719,0.515643906,-7
2818.2,0.534456659,-7
2779.9,0.527193267,-7
2709.4,0.513823317,-7
2585.5,0.49032634,-7
2405,0.456095474,-7
2218.8,0.420783633,-7
2058.6,0.390402554,-7
1977.1,0.374946512,-7
1933.8,0.366734897,-7
1930.8,0.366165963,-7
1974.7,0.374491365,-7
2126.8,0.403336322,-7
2406.1,0.456304083,-7
2607.322158,0.494464796,-7
2662.179593,0.504868218,-7
2710.632719,0.514057095,-6
2704.650542,0.512922607,-6
2739.204373,0.519475558,-5
2625.288714,0.497872058,-5
2752.239089,0.521947523,-4
2685.550909,0.509300463,-4
2765.154216,0.524396808,-4
2891.546824,0.548366494,-5
3138.4,0.595180888,-5
3144.1,0.596261863,-4
3023.7,0.573428642,-4
2886.1,0.547333533,-4
2731.7,0.518052393,-4
2544.8,0.482607801,-4
2350.8,0.445816732,-4
2200.7,0.417351064,-4
2102.5,0.398727956,-4
2060.6,0.390781843,-4
2049.9,0.388752645,-4
2060.8,0.390819772,-4
2102,0.398633134,-4
2176.2,0.412704769,-4
2232.360112,0.423355236,-4
2313.855522,0.438810408,-4
2369.506495,0.449364319,-3
2465.162727,0.467505016,-3
2491.993894,0.472593404,-2
2482.650374,0.470821455,-2
2445.134709,0.463706808,-2
2206.988098,0.418543569,-2
2389.303687,0.453118752,-2
2684.903241,0.509177637,-2
3053.9,0.579155912,-2
3101.5,0.588182999,-2
3016.6,0.572082165,-1
2881.6,0.546480132,-1
2721.5,0.516118018,-2
2510.4,0.476084024,-2
2322.6,0.440468752,-3
2193.3,0.415947694,-3
2129.8,0.403905256,-4
2087.9,0.395959143,-4
2081.5,0.394745417,-4
2119.1,0.401876058,-5
2238.3,0.424481704,-5
2445,0.463681261,-4
2598,0.492696899,-3
2658.723956,0.504212874,-2
2479.487414,0.470221616,-2
2398.165239,0.454799298,-2
2523.40006,0.478549416,-1
2402.390227,0.455600544,-1
2373.710443,0.450161576,-1
2558.807187,0.48526419,-1
2680.622234,0.508365766,-2
2799.542044,0.530918277,-2
3079.1,0.583934958,-2
3167.8,0.600756442,-3
3102.3,0.588334715,-3
