Year,Month,Day,Hour,AC System Output (W)
2015,1,17,16,11102358.37
2015,1,17,17,0
2015,1,17,18,0
2015,1,17,19,0
2015,1,17,20,0
2015,1,17,21,0
2015,1,17,22,0
2015,1,17,23,0
2015,1,18,0,0
2015,1,18,1,0
2015,1,18,2,0
2015,1,18,3,0
2015,1,18,4,0
2015,1,18,5,0
2015,1,18,6,0
2015,1,18,7,0
2015,1,18,8,5438557.374
2015,1,18,9,32893695.32
2015,1,18,10,30937465.03
2015,1,18,11,30294644.3
2015,1,18,12,80095791.48
2015,1,18,13,19181772.48
2015,1,18,14,42138132.41
2015,1,18,15,30084272.69
2015,1,18,16,1530785.786
2015,1,18,17,0
2015,1,18,18,0
2015,1,18,19,0
2015,1,18,20,0
2015,1,18,21,0
2015,1,18,22,0
2015,1,18,23,0
2015,1,19,0,0
2015,1,19,1,0
2015,1,19,2,0
2015,1,19,3,0
2015,1,19,4,0
2015,1,19,5,0
2015,1,19,6,0
2015,1,19,7,33339110.9
2015,1,19,8,199955758.5
2015,1,19,9,353118936
2015,1,19,10,459314129
2015,1,19,11,512820191.3
2015,1,19,12,515615718.1
2015,1,19,13,468142091.3
2015,1,19,14,369219119
2015,1,19,15,227435544.9
2015,1,19,16,61071947.23
2015,1,19,17,0
2015,1,19,18,0
2015,1,19,19,0
2015,1,19,20,0
2015,1,19,21,0
2015,1,19,22,0
2015,1,19,23,0
2015,1,20,0,0
2015,1,20,1,0
2015,1,20,2,0
2015,1,20,3,0
2015,1,20,4,0
2015,1,20,5,0
2015,1,20,6,0
2015,1,20,7,41205608.04
2015,1,20,8,207232341.5
2015,1,20,9,356983816.7
2015,1,20,10,318609477.6
2015,1,20,11,514939480.1
2015,1,20,12,517387108.1
2015,1,20,13,473759928.1
2015,1,20,14,377187770.7
2015,1,20,15,235079164.3
2015,1,20,16,67647273.91
2015,1,20,17,0
2015,1,20,18,0
2015,1,20,19,0
2015,1,20,20,0
2015,1,20,21,0
2015,1,20,22,0
2015,1,20,23,0
2015,1,21,0,0
2015,1,21,1,0
2015,1,21,2,0
2015,1,21,3,0
2015,1,21,4,0
2015,1,21,5,0
2015,1,21,6,0
2015,1,21,7,15196807.56
2015,1,21,8,215870969.3
2015,1,21,9,365337493
2015,1,21,10,463685027.4
2015,1,21,11,514363526.2
2015,1,21,12,515049989.7
2015,1,21,13,463589715.2
2015,1,21,14,371457852.9
2015,1,21,15,233016842.3
2015,1,21,16,70043417.17
