Demand,Normalized_net,Temprature
2163.8,0.410353175,-10.2
2432.0,0.461215881,-9.7
2616.482106,0.496201932,-9.5
2623.532582,0.497539017,-9.5
2412.24782,0.457469984,-9.7
2511.7405,0.476338243,-9.8
2286.919078,0.433702054,-10.4
2063.722763,0.391374059,-10.9
2085.06743,0.395421962,-10.6
2260.917623,0.428771017,-8.7
2518.625846,0.477644012,-6.1
2727.158002,0.517191028,-4.8
3022.3,0.57316314,-4.0
3065.9,0.581431648,-3.5
3011.8,0.57117187,-2.9
2932.0,0.556038224,-2.6
2796.6,0.530360334,-2.9
2531.6,0.480104491,-4.8
2289.9,0.43426737,-6.1
2128.8,0.403715611,-7.7
2043.5,0.387538919,-8.3
1975.9,0.374718938,-8.6
1954.0,0.37056572,-7.5
1986.2,0.376672279,-4.9
2110.2,0.40018822,-4.3
2367.9,0.449059656,-4.5
2525.724661,0.478990265,-4.2
2396.707173,0.454522783,-3.8
2265.610321,0.429660962,-4.0
2122.286748,0.402480408,-4.3
2035.012267,0.385929266,-3.9
2008.851505,0.380968016,-3.4
2038.868019,0.386660489,-2.8
2140.122812,0.405862922,-1.5
2345.588174,0.444828337,0.5
2649.773637,0.502515494,2.0
2937.6,0.557100235,1.4
3035.2,0.575609556,0.4
2981.0,0.565330814,-0.7
2910.6,0.551979828,-2.6
2789.0,0.528919034,-4.3
2610.2,0.495010564,-5.5
2413.7,0.457745383,-6.6
2264.1,0.429374537,-7.7
2164.0,0.410391104,-8.5
2108.4,0.39984686,-9.3
2082.1,0.394859204,-9.9
2091.8,0.396698758,-10.9
2140.2,0.405877561,-12.0
2253.3,0.427326375,-12.7
2309.248163,0.437936647,-13.2
2267.673519,0.430052236,-13.5
2210.412034,0.4191929,-14.0
2204.845693,0.418137273,-13.8
2200.265862,0.417268732,-14.5
2109.613694,0.40007703,-15.5
2155.743411,0.408825286,-14.4
2175.546823,0.412580898,-12.2
2346.985672,0.445093365,-10.6
2608.397642,0.494668756,-9.4
2882.6,0.546669777,-8.3
2907.8,0.551448823,-7.2
2846.4,0.539804639,-6.1
2763.5,0.524083094,-5.6
2643.1,0.501249874,-5.6
2479.3,0.470186074,-5.9
2299.4,0.436068995,-5.7
2148.4,0.407432647,-5.2
2042.0,0.387254452,-5.4
1977.9,0.375098228,-5.6
1939.5,0.367815872,-5.3
1929.4,0.36590046,-5.1
1939.5,0.367815872,-4.9
1995.3,0.378398045,-5.2
2069.8,0.392526575,-4.8
2175.061443,0.412488848,-4.0
2271.206305,0.43072221,-3.8
2379.162535,0.451195536,-3.6
2450.505356,0.464725323,-5.2
2422.604209,0.459434019,-5.0
2484.518228,0.471175683,-3.9
2444.961868,0.46367403,-3.2
2469.915727,0.468406397,-2.0
2626.569214,0.498114898,-0.7
2748.2,0.521181531,-0.2
2721.7,0.516155947,-0.1
2647.9,0.502160169,0.1
2552.7,0.484105994,0.3
2433.1,0.46142449,1.0
2268.9,0.430284832,1.2
2086.4,0.395674676,1.0
1936.7,0.367284867,1.1
1848.7,0.350596134,1.6
1800.4,0.341436296,1.3
1790.3,0.339520884,0.9
1816.0,0.344394753,0.9
1902.5,0.360799018,0.8
2071.8,0.392905864,-0.3
2185.060889,0.41438519,-0.5
2159.744242,0.409584022,-0.8
2120.781064,0.402194863,0.0
2070.185871,0.392599753,0.1
2036.679809,0.386245506,0.2
2012.184282,0.38160006,0.5
2062.857909,0.391210044,0.8
2195.280881,0.416323357,1.7
2380.064455,0.45136658,2.3
2675.428053,0.507380718,3.0
2958.3,0.56102588,2.9
2967.5,0.562770611,2.7
2890.5,0.54816797,2.5
2774.2,0.526112293,2.2
2607.2,0.49444163,1.9
2373.0,0.450026844,1.4
2136.2,0.405118982,0.8
1969.7,0.373543141,0.2
1880.5,0.356626835,-0.1
1829.1,0.346879098,-0.5
1812.5,0.343730996,-0.5
1847.5,0.350368561,-0.2
1992.0,0.377772218,-0.5
2275.8,0.43159338,-0.8
2401.794392,0.455487547,-1.1
2295.367659,0.435304283,-1.4
2194.816183,0.41623523,-1.6
2188.390522,0.415016637,-1.8
1957.36052,0.371203025,-2.1
1933.512892,0.366680449,-2.6
2018.140072,0.382729544,-2.4
2140.212229,0.40587988,-1.9
2317.620836,0.43952448,-1.0
2647.752726,0.502132239,-0.3
2957.8,0.560931057,0.4
2983.7,0.565842855,0.6
2912.4,0.552321188,0.4
2809.8,0.532863644,0.5
2646.9,0.501970524,-0.5
2415.6,0.458105708,-1.8
2182.4,0.413880566,-2.6
2038.5,0.386590696,-2.6
1962.9,0.372253558,-3.5
1923.5,0.364781557,-4.4
1918.7,0.363871262,-5.2
1968.3,0.373277639,-5.9
2111.8,0.400491652,-6.4
2391.8,0.453592164,-7.0
2535.803192,0.480901604,-7.8
2358.329031,0.447244573,-8.3
2232.962507,0.423469477,-9.4
2161.314973,0.409881903,-9.8
2102.336474,0.398696944,-10.8
2052.05001,0.389160383,-11.3
2040.110285,0.386896078,-9.1
2136.842147,0.405240762,-6.9
2360.483158,0.447653091,-5.8
2689.756583,0.510098047,-5.1
2993.9,0.567777231,-4.0
3029.0,0.574433759,-3.0
2954.1,0.560229372,-2.3
2843.3,0.539216741,-2.0
2671.1,0.506559925,-3.3
2429.7,0.460779698,-4.5
2189.3,0.415189115,-5.4
2035.1,0.385945904,-5.7
1942.6,0.36840377,-5.8
1891.4,0.358693962,-5.6
1877.8,0.356114795,-5.5
1911.4,0.362486856,-5.4
2049.8,0.388733681,-5.4
2316.9,0.439387777,-6.1
2492.379213,0.472666477,-6.2
2529.054768,0.479621802,-6.4
2487.849741,0.471807487,-6.8
2473.085404,0.469007509,-7.1
2529.757988,0.479755164,-6.9
2410.073577,0.457057651,-6.9
2380.094681,0.451372312,-6.3
2211.486838,0.419396731,-5.0
2338.617853,0.443506452,-3.2
2590.953667,0.491360599,-1.7
2903.5,0.550633351,-1.0
2979.1,0.564970489,-0.4
2921.8,0.554103849,0.6
2836.3,0.537889228,0.8
2697.8,0.511623438,0.0
2449.9,0.46461052,-1.4
2225.5,0.422054252,-2.3
2073.6,0.393247224,-2.9
1989.0,0.377203284,-3.7
1941.2,0.368138268,-4.6
1930.8,0.366165963,-4.8
1971.3,0.373846573,-6.0
2114.9,0.40107955,-7.6
2389.8,0.453212875,-8.7
2545.04178,0.482653654,-9.9
2364.218301,0.448361441,-10.5
2196.302866,0.416517171,-11.2
2083.463365,0.395117759,-11.6
1989.722714,0.377340343,-11.7
1941.128325,0.368124675,-11.6
1954.620093,0.370683317,-9.8
2053.098499,0.389359224,-5.0
2317.498947,0.439501364,-3.3
2578.216099,0.488944987,-2.2
2865.4,0.543407888,-0.9
2912.5,0.552340153,0.5
2834.5,0.537547867,1.3
2734.2,0.518526505,1.3
2603.7,0.493777873,0.3
2420.0,0.458940144,-0.7
2214.6,0.419987125,-0.6
2059.6,0.390592199,-0.5
1950.3,0.369864034,0.0
1894.0,0.359187039,-0.1
1864.2,0.353535627,-0.4
1870.6,0.354749353,0.0
1911.2,0.362448927,0.1
2024.5,0.38393567,-0.3
2132.929219,0.404498696,-0.3
2178.597087,0.413159364,-1.1
2371.305396,0.449705471,-1.2
2263.141881,0.429192835,-1.0
2200.903184,0.417389597,-0.9
2088.59389,0.396090736,-1.0
2107.218211,0.39962274,-1.1
2241.673915,0.42512155,-0.7
2392.080627,0.453645383,-0.3
2622.750399,0.49739068,0.0
2842.3,0.539027096,0.1
2834.9,0.537623725,0.5
2744.8,0.520536739,0.9
2651.1,0.502767032,0.8
2537.5,0.481223395,0.7
2379.5,0.451259534,0.3
2209.5,0.419019937,-0.4
2058.1,0.390307732,-1.3
1946.8,0.369200278,-2.1
1886.8,0.357821597,-2.3
1848.4,0.350539241,-1.9
1845.6,0.350008236,-1.3
1880.3,0.356588906,-1.0
1951.1,0.37001575,-0.8
1958.165578,0.3713557,-0.4
1902.125113,0.360727923,-0.3
1827.06521,0.346493211,-0.2
1861.44491,0.353013139,-0.1
1733.761847,0.328798724,0.2
1789.167253,0.339306065,0.4
1839.696956,0.348888755,0.5
1933.144838,0.366610649,1.4
2093.401601,0.397002493,1.3
2353.107317,0.446254302,1.2
2719.0,0.515643906,0.7
2818.2,0.534456659,0.6
2779.9,0.527193267,0.6
2709.4,0.513823317,0.0
2585.5,0.49032634,-1.1
2405.0,0.456095474,-1.8
2218.8,0.420783633,-3.0
2058.6,0.390402554,-4.3
1977.1,0.374946512,-6.1
1933.8,0.366734897,-7.2
1930.8,0.366165963,-8.0
1974.7,0.374491365,-8.6
2126.8,0.403336322,-8.6
2406.1,0.456304083,-8.9
2607.322158,0.494464796,-9.3
2662.179593,0.504868218,-9.5
2710.632719,0.514057095,-9.8
2704.650542,0.512922607,-9.9
2739.204373,0.519475558,-10.2
2625.288714,0.497872058,-10.4
2752.239089,0.521947523,-10.1
2685.550909,0.509300463,-9.7
2765.154216,0.524396808,-8.9
2891.546824,0.548366494,-7.2
3138.4,0.595180888,-6.5
3144.1,0.596261863,-5.8
3023.7,0.573428642,-5.8
2886.1,0.547333533,-7.0
2731.7,0.518052393,-8.1
2544.8,0.482607801,-8.6
2350.8,0.445816732,-8.9
2200.7,0.417351064,-8.8
2102.5,0.398727956,-8.4
2060.6,0.390781843,-8.5
2049.9,0.388752645,-8.6
2060.8,0.390819772,-8.8
2102.0,0.398633134,-8.8
2176.2,0.412704769,-9.0
2232.360112,0.423355236,-9.4
2313.855522,0.438810408,-9.8
2369.506495,0.449364319,-10.1
2465.162727,0.467505016,-10.1
2491.993894,0.472593404,-10.1
2482.650374,0.470821455,-10.2
2445.134709,0.463706808,-10.4
2206.988098,0.418543569,-10.5
2389.303687,0.453118752,-10.2
2684.903241,0.509177637,-9.6
3053.9,0.579155912,-8.8
3101.5,0.588182999,-8.1
3016.6,0.572082165,-8.0
2881.6,0.546480132,-8.3
2721.5,0.516118018,-9.1
2510.4,0.476084024,-9.6
2322.6,0.440468752,-10.2
2193.3,0.415947694,-10.7
2129.8,0.403905256,-11.0
2087.9,0.395959143,-11.2
2081.5,0.394745417,-11.2
