ept,netload,tmpf,month,hour,dayofweek,mw2day,mw7day
2019-01-16 08:00:00,16093.319,27.0,1,8,2,15651.524,12098.338
2019-01-16 09:00:00,14867.549,30.9,1,9,2,15432.495,11644.052
2019-01-16 10:00:00,13733.243,37.0,1,10,2,15064.149,11271.118
2019-01-16 11:00:00,12951.207,42.1,1,11,2,14734.373,11182.244
2019-01-16 12:00:00,12334.139,43.0,1,12,2,14376.491,11125.326
2019-01-16 13:00:00,11890.489,45.0,1,13,2,14040.834,11095.365
2019-01-16 14:00:00,11616.332,45.0,1,14,2,13782.797,11202.474
2019-01-16 15:00:00,11737.632,46.0,1,15,2,13675.249,11646.156
2019-01-16 16:00:00,12354.845,46.9,1,16,2,14149.151,12358.476
2019-01-16 17:00:00,13485.481,43.0,1,17,2,15291.565,13450.021
2019-01-16 18:00:00,14007.401,39.9,1,18,2,15703.788,13773.183
2019-01-16 19:00:00,14063.148,39.0,1,19,2,15681.303,13809.109
2019-01-16 20:00:00,14020.706,36.0,1,20,2,15432.274,13720.406
2019-01-16 21:00:00,13603.001,36.0,1,21,2,14938.097,13371.334
2019-01-16 22:00:00,12996.738,34.0,1,22,2,14259.27,12830.044
2019-01-16 23:00:00,12471.642,32.0,1,23,2,13702.923,12242.813
2019-01-17 00:00:00,12224.237,30.9,1,0,3,13363.469,11955.855
2019-01-17 01:00:00,12111.463,28.9,1,1,3,13261.038,11959.433
2019-01-17 02:00:00,12163.508,30.0,1,2,3,13271.145,12146.619
2019-01-17 03:00:00,12351.288,28.9,1,3,3,13429.76,12456.401
2019-01-17 04:00:00,12756.323,30.9,1,4,3,13958.609,12989.324
2019-01-17 05:00:00,13609.202,32.0,1,5,3,14771.448,14042.631
2019-01-17 06:00:00,14768.81,32.0,1,6,3,15859.863,15365.654
2019-01-17 07:00:00,15272.181,33.1,1,7,3,16399.34,15949.155
2019-01-17 08:00:00,14760.973,33.1,1,8,3,16085.851,15349.278
2019-01-17 09:00:00,14176.161,36.0,1,9,3,15205.334,14551.661
2019-01-17 10:00:00,13797.125,37.0,1,10,3,14268.354,14050.842
2019-01-17 11:00:00,13480.414,37.9,1,11,3,13558.226,13575.656
2019-01-17 12:00:00,13196.687,39.9,1,12,3,12973.155,13200.41
2019-01-17 13:00:00,12865.296,41.0,1,13,3,12621.721,12922.14
2019-01-17 14:00:00,12648.535,41.0,1,14,3,12580.726,12795.49
2019-01-17 15:00:00,12841.643,42.1,1,15,3,12541.637,12964.994
2019-01-17 16:00:00,13398.81,42.1,1,16,3,13107.187,13691.33
2019-01-17 17:00:00,14230.073,41.0,1,17,3,14249.1,15007.833
2019-01-17 18:00:00,14411.313,39.9,1,18,3,14806.38,15484.846
2019-01-17 19:00:00,14319.172,39.0,1,19,3,14901.517,15498.998
2019-01-17 20:00:00,14008.873,37.9,1,20,3,14962.432,15460.392
2019-01-17 21:00:00,13481.817,37.9,1,21,3,14626.166,15015.675
2019-01-17 22:00:00,12713.694,39.0,1,22,3,14144.172,14291.659
2019-01-17 23:00:00,12037.129,39.0,1,23,3,13757.768,13687.977
2019-01-18 00:00:00,11654.977,39.0,1,0,4,13610.331,13420.297
2019-01-18 01:00:00,11454.371,39.0,1,1,4,13590.633,13329.981
2019-01-18 02:00:00,11397.482,37.9,1,2,4,13654.394,13427.724
2019-01-18 03:00:00,11476.839,39.0,1,3,4,13884.04,13706.7
