date,netload,tmpf,month,hour,dayofweek,kw_2,kw_7,poten_2,poten_7
2015-01-31 05:00:00,63.094213334,48.92,1,5,5,65.201171669,72.487848056,0.0,3.0400886664000097
2015-01-31 06:00:00,79.117282502,48.92,1,6,5,90.9034575,73.372813056,7.69579722120001,0.0
2015-01-31 07:00:00,86.857030001,48.92,1,7,5,103.170687777,84.395777224,9.734704914799991,0.0
2015-01-31 08:00:00,81.53314111,48.92,1,8,5,108.086733331,104.505312226,7.489617580699999,3.908196475699995
2015-01-31 09:00:00,75.844236667,48.92,1,9,5,84.295940278,76.533700279,0.4362456946999913,0.0
2015-01-31 10:00:00,74.098053888,51.08,1,10,5,75.039120831,61.678978055,1.4468224147000086,0.0
2015-01-31 11:00:00,67.644642499,51.08,1,11,5,54.803653333,37.7505475,5.71954061160001,0.0
2015-01-31 12:00:00,59.4159175,53.06,1,12,5,35.734042222,23.094910001,7.006147554999998,0.0
2015-01-31 13:00:00,43.402115832,57.02,1,13,5,5.107863333,3.101920001,0.0,0.0
2015-01-31 14:00:00,39.449380277,55.94,1,14,5,-5.708839165,1.295743609,0.0,0.0
2015-01-31 15:00:00,36.148503332,57.02,1,15,5,1.447328054,14.15548639,0.0,5.338627335
2015-01-31 16:00:00,46.275320556,57.02,1,16,5,19.010128333,25.145467775,0.0,0.0
2015-01-31 17:00:00,57.295002776,55.94,1,17,5,32.433442499,49.744139168,0.0,0.4435977782999956
2015-01-31 18:00:00,66.709730277,57.02,1,18,5,52.774322222,54.232579444,0.0,0.0
2015-01-31 19:00:00,69.848299722,59.0,1,19,5,72.611788613,70.705973334,0.0,0.0
2015-01-31 20:00:00,91.793950001,62.06,1,20,5,87.883818055,77.232239166,2.3419431101000043,0.0
2015-01-31 21:00:00,84.830985552,62.06,1,21,5,90.995123611,81.890887781,3.757581388600002,0.0
2015-01-31 22:00:00,76.709638057,62.06,1,22,5,90.19941667,79.077371944,7.53161991970002,0.0
2015-01-31 23:00:00,74.678099444,60.98,1,23,5,85.008650276,81.911473055,5.392993747700004,2.2958165267000084
2015-02-01 00:00:00,76.730688055,62.06,2,0,6,87.696471667,70.150017778,5.728359890000007,0.0
2015-02-01 01:00:00,74.817233887,62.06,2,1,6,91.651909997,63.881874445,11.70864108100001,0.0
2015-02-01 02:00:00,79.150895831,62.06,2,2,6,90.203667778,67.236456386,8.038755000099997,0.0
2015-02-01 03:00:00,81.780916109,62.06,2,3,6,71.011942224,80.387404447,0.0,3.9664436685000055
2015-02-01 04:00:00,79.451045,62.06,2,4,6,75.47203361,69.68203528,4.140341970800009,0.0
2015-02-01 05:00:00,70.295900835,60.98,2,5,6,76.04734889,65.523043611,6.5995895004000005,0.0
2015-02-01 06:00:00,81.169548334,60.98,2,6,6,92.231886392,75.587586668,9.024226113200015,0.0
2015-02-01 07:00:00,82.119645833,60.98,2,7,6,104.424512221,86.042654167,10.988529358799994,0.0
2015-02-01 08:00:00,81.792653613,60.98,2,8,6,105.220211388,95.922069165,4.62309563769999,0.0
2015-02-01 09:00:00,80.248159167,62.06,2,9,6,97.638369722,83.255581111,13.77867513869998,0.0
2015-02-01 10:00:00,57.166995837,64.94,2,10,6,85.211292223,69.751415278,11.618993806700004,0.0
2015-02-01 11:00:00,46.444024443,69.08,2,11,6,62.60489139,38.792567222,13.520778668600007,0.0
2015-02-01 12:00:00,23.122384443,71.06,2,12,6,34.510450832,9.644855004,5.782556164999996,0.0
2015-02-01 13:00:00,7.855521388,69.98,2,13,6,9.544099167,-5.546858888,0.0,0.0
2015-02-01 14:00:00,8.641361666,73.04,2,14,6,4.24657028,-4.896005554,0.0,0.0
2015-02-01 15:00:00,21.476894167,69.98,2,15,6,13.557887221,-15.612947221,4.741028166,0.0
2015-02-01 16:00:00,38.95225333,68.0,2,16,6,20.14418611,9.669478613,0.0,0.0
2015-02-01 17:00:00,50.27059861,62.96,2,17,6,36.579610834,46.549406945,0.0,0.0
2015-02-01 18:00:00,70.352202502,60.08,2,18,6,44.714803054,63.112489721,0.0,0.0
2015-02-01 19:00:00,84.807985277,57.02,2,19,6,62.799943608,79.577233057,0.0,4.076485056999999
2015-02-01 20:00:00,99.044441944,53.96,2,20,6,76.717588611,91.086125279,0.0,5.544250334099999
2015-02-01 21:00:00,97.832288056,51.08,2,21,6,81.970057781,88.815694722,0.0,1.5781524996000087
2015-02-01 22:00:00,91.823910003,48.02,2,22,6,78.188395834,85.378798612,0.0,2.711001861700012
2015-02-01 23:00:00,87.558256944,44.96,2,23,6,78.735777226,91.621882225,0.0,12.0062256967
2015-02-02 00:00:00,92.218538335,44.06,2,0,0,79.414487221,89.88749389,0.0,7.919382113000012
2015-02-02 01:00:00,86.800984445,42.08,2,1,0,72.787191387,94.772513887,0.0,14.829244971000008
2015-02-02 02:00:00,87.417425278,41.0,2,2,0,73.929947778,104.419970279,0.0,22.2550575011
2015-02-02 03:00:00,80.355461666,39.92,2,3,0,73.262168336,86.551076946,0.0,10.130116167500006
2015-02-02 04:00:00,74.071059166,37.94,2,4,0,64.734921667,80.436881671,0.0,9.105190031800008
2015-02-02 05:00:00,69.45708139,37.04,2,5,0,63.094213334,71.984196388,0.0,2.5364369984000064
2015-02-02 06:00:00,74.184692779,35.96,2,6,0,79.117282502,88.113918058,0.0,4.906257779200004
2015-02-02 07:00:00,86.355644722,33.08,2,7,0,86.857030001,102.154601668,0.0,8.718618805799991
2015-02-02 08:00:00,107.057428055,33.98,2,8,0,81.53314111,108.549001942,0.0,7.951886191699998
2015-02-02 09:00:00,82.506818333,35.06,2,9,0,75.844236667,89.549401942,0.0,5.689707358699991
2015-02-02 10:00:00,71.650640277,37.04,2,10,0,74.098053888,92.059066666,0.5057554716999988,18.46676824970001
2015-02-02 11:00:00,39.691910554,39.92,2,11,0,67.644642499,66.216896388,18.56052977760001,17.132783666600005
2015-02-02 12:00:00,26.691163334,42.08,2,12,0,59.4159175,47.951441108,30.688022833,19.223546441
2015-02-02 13:00:00,28.177253333,44.06,2,13,0,43.402115832,24.735506388,30.4801017483,11.8134923043
