True,QR-0.1,GB-0.1,RF-0.1,LSTM-0.1,DNN-0.1,GRU-0.1,QR-0.2,GB-0.2,RF-0.2,LSTM-0.2,DNN-0.2,GRU-0.2,QR-0.30000000000000004,GB-0.30000000000000004,RF-0.30000000000000004,LSTM-0.30000000000000004,DNN-0.30000000000000004,GRU-0.30000000000000004,QR-0.4,GB-0.4,RF-0.4,LSTM-0.4,DNN-0.4,GRU-0.4,QR-0.5,GB-0.5,RF-0.5,LSTM-0.5,DNN-0.5,GRU-0.5,QR-0.6000000000000001,GB-0.6000000000000001,RF-0.6000000000000001,LSTM-0.6000000000000001,DNN-0.6000000000000001,GRU-0.6000000000000001,QR-0.7000000000000001,GB-0.7000000000000001,RF-0.7000000000000001,LSTM-0.7000000000000001,DNN-0.7000000000000001,GRU-0.7000000000000001,QR-0.8,GB-0.8,RF-0.8,LSTM-0.8,DNN-0.8,GRU-0.8,QR-0.9,GB-0.9,RF-0.9,LSTM-0.9,DNN-0.9,GRU-0.9
171.87756472200002,108.57261521221642,144.8871064700473,168.166501943,204.7864,148.94785,190.52689,135.63188436933117,166.81592236993694,174.05223833600002,270.67007,186.52585,283.15872,150.20362679893472,178.89498578027315,188.48724633260002,121.2839,202.74167,258.2573,158.42600773676173,176.44175505723186,197.53134833299998,241.83707,204.69507,192.20999,163.4461463973508,183.7466634199023,209.62304125050002,248.40598,205.082,254.29941,167.55877270578233,175.6186429827505,213.37432,341.05933,177.98169,116.27209,171.56035602411845,188.59393645512176,215.02940055300002,205.46692,259.05142,176.69827,181.05675664418715,202.3398692858416,228.35430583099998,236.25162,280.95447,243.60443,198.53475432461124,238.97385187215406,313.74592430570004,292.1582,310.31964,351.40823
140.74156916700002,53.336262050865045,62.998321479641305,83.94219133299998,172.60986,134.9502,157.38815,77.03549268600818,82.84677190794682,124.89206849940001,254.7828,171.18195,224.56204,88.91038038716366,121.8367704403804,137.542816114,120.79719,192.21487,251.3403,94.95343354291543,116.97131971923127,142.363839445,223.67853,203.57315,138.0622,98.72739859552644,146.93329615094814,145.11940472099997,274.44382,171.18488,231.64755,100.71023366311684,141.2026409890036,150.502422497,306.20264,147.68842,117.64095,103.35731080047245,154.4909244794789,163.58296722100002,143.8555,231.91144,178.00595,110.78746335104901,173.06907257726115,187.9039312794,210.86768,268.7503,230.33029,128.44922305501947,188.8624466246344,240.0856316948001,275.88522,301.9754,299.31503
136.17572528099996,-5.944234206813249,29.851041198435567,9.798363054000006,144.19324,124.70098,119.925316,15.546722093547544,22.40414515688866,29.788770222399975,247.98071,164.36383,155.97897,25.757508046808,44.63863435018702,56.380327969999996,104.873146,188.4668,237.28268,31.50678602258438,61.465202897519816,69.118577499,191.55484,206.32556,74.2868,35.940345220530375,76.04722562599977,75.63288847400003,268.89215,149.78833,204.01071,38.667014257779385,59.83376578813554,119.892477775,262.69095,116.34942,112.50074,41.76481004908865,80.7304461807247,142.644772499,81.90981,204.04935,163.96384,49.8465034713701,134.3150807317713,142.644772499,169.57986,256.53995,210.5137,67.3993785589879,158.50224788592834,142.8922357212,246.82947,290.66306,233.79385
121.77654777599994,-33.61691772203179,8.277849348636224,-32.72412305500001,140.43753,124.93066,88.927086,-12.683001620156325,-19.632327928770927,-13.979668610999994,231.00565,162.40067,138.59976,-3.2110603214026128,-5.930409681964733,-7.77138805300001,79.1585,192.31863,225.17093,2.1311710383951805,16.41489837337059,-5.268216664999969,174.99881,211.73523,30.399452,6.695438160372817,32.80077063606541,9.798363054000006,251.57825,143.04776,194.84259,9.318294295519479,35.139359090449986,11.748945057400022,223.87302,103.192696,102.813484,12.502062625915144,54.57849568935157,13.110916111000009,37.821808,190.26114,161.66885,20.759678731303865,95.78062704657935,17.31012833299998,145.43027,251.362,197.71567,39.331910334824,158.50224788592834,24.89754805299998,229.99576,286.1453,217.09369
152.66608889100002,-59.92090955115377,-25.080041656230662,-50.85798389100003,130.63574,133.29474,20.089478,-38.503648806752054,-72.6684661769318,-33.11288639300001,158.59506,162.29163,136.77069,-29.01596755266163,-28.494624008273327,-21.30958111200001,43.042366,208.62906,192.2761,-22.921734892511232,-20.182640106641266,-7.77138805300001,161.4585,222.45322,1.9714661,-17.022159643934756,30.445107742547748,9.44938332999999,240.42896,148.12726,194.05093,-12.727406247791905,29.13531771380343,10.051639999000002,164.59473,84.775536,104.89944,-8.280260304271224,54.57849568935157,17.237262222,-12.309269,178.1069,162.81168,1.997937240293382,95.78062704657935,24.89754805299998,87.26322,248.56958,181.10873,21.892556649710187,156.53144750904826,24.89754805299998,205.58371,287.5715,246.76797
43.92489666800003,-49.137574665598834,-17.905171180071797,-33.11288639300002,133.0911,132.07495,24.047958,-25.65037929524209,-48.32321039719777,-32.724123055000014,135.32855,160.75449,149.09433,-15.016224659136995,-5.930409681964733,-14.082530945399995,58.349495,204.88672,190.10278,-8.238103990355228,4.993377153032796,-7.77138805300001,147.3421,222.03839,-2.4217072,-1.836774412910458,29.62477298699811,0.6958422250000069,219.77548,152.27554,196.15787,2.927426708611719,26.467244269303407,9.44938332999999,164.72095,90.28202,144.75333,7.944282485745916,54.57849568935157,10.051639999000002,-22.964962,183.84097,181.01971,19.077890080156337,95.78062704657935,13.93618533320003,76.341194,250.70251,180.66278,40.47346525189492,156.53144750904826,45.768430833,201.61993,288.126,263.88422
25.522383335,-29.807825083370147,-22.16458614385335,-13.979668610999994,129.38858,132.58627,31.450798,-3.4889178313561047,-48.32321039719777,-8.353301665000004,118.95646,159.88159,172.26682,8.824854196299754,6.99324724720158,-7.77138805300001,82.84205,201.54214,183.66391,16.715752319817966,25.40648538511543,-7.77138805300001,138.2221,221.978,4.150963,23.913737981828106,39.80380830069855,-0.9169938920000078,204.47827,160.89322,200.72507,29.58246247072171,34.11880154495006,11.494106110999994,162.63626,99.75642,204.8677,35.486336298482684,56.605777935961214,13.845213527499993,-17.304707,194.02328,187.45377,47.96511850595215,95.78062704657935,23.439789890000057,76.48531,254.9943,180.86667,71.0745944422143,156.53144750904826,67.37160352780006,198.94702,292.34225,284.1414
77.010685,13.767435601340736,6.228228973420698,44.15389983189999,127.89262,139.66727,49.71299,44.6675314871744,8.698104043951702,55.31452688620004,129.80539,161.38489,201.31235,59.823626113852725,36.79646669299402,58.01044471999998,127.59441,200.29251,181.08801,69.47554369482927,49.32257968876817,58.01044472000001,145.19055,223.531,13.906128,77.75007033612462,81.0696996501758,62.112767499,207.87277,181.30643,218.27142,84.71936281287552,73.13883036833542,64.58111388699996,160.41605,120.77958,255.96155,91.87818642319294,96.7388688258576,69.8228845836,4.7626266,215.95786,231.51062,106.28871012410559,132.34673190454504,113.07375844300006,109.699394,264.4992,176.35373,131.76842474308762,156.53144750904826,156.40183547090032,230.55762,302.58258,329.9843
129.37123472100004,63.373984470058275,68.55433453432693,67.57826889,135.23264,149.9515,96.647896,99.36061154293088,72.33091551966015,90.148469723,141.59937,170.3176,230.7312,117.70786804923551,115.67235917841666,94.23738305999998,175.38443,208.92722,186.77286,129.3789355651231,105.85574619442252,107.47611822280001,165.33002,229.67401,34.09826,138.8944982932193,128.11779544678166,114.8679215285,210.66122,214.7222,237.34799,147.40572007496507,137.43385258598929,120.9590147234,158.40982,144.8288,290.94342,156.00171916755323,161.39310062898238,155.57828583499997,61.53376,239.9993,292.1984,172.62671175885174,179.56399887067457,165.87310777599993,147.64139,275.2536,176.06516,200.63103463756175,208.42521558321857,210.31166844490008,262.4436,311.57846,386.26184
202.92297028000002,110.12326683408082,176.45289262210872,135.85316055799996,153.50644,157.19467,135.15173,150.81322964517065,173.43376562971565,165.68496083599996,192.26376,190.09628,247.46164,172.17540381505574,172.69936776699063,172.88462930830002,213.39526,225.3359,199.41089,185.72273976242053,193.50622552785433,182.829844165,193.05936,232.54166,96.1851,196.29168440259264,194.29780721128714,191.0458452785,217.1225,232.63461,257.55515,206.1018342666693,190.67222849006555,209.65342638700002,188.08325,192.27203,309.91824,215.9236694733586,193.53687819305702,227.95530363909995,147.8299,260.12408,337.30054,234.37377609896424,208.42015431793402,249.112622777,201.27911,284.00513,172.98184,264.4623624110928,240.25138456568823,249.112622777,286.02722,318.3942,412.40265
