ept,netload,tmpf,month,hour,dayofweek,mw2day,mw7day,potential
2019-01-11 18:00:00,56029.64,28.0,1,18,4,59117.701,50916.862,5890.171592592596
2019-01-11 19:00:00,55443.287,27.0,1,19,4,58751.464,50438.453,5664.437777777777
2019-01-11 20:00:00,54727.666,27.0,1,20,4,58052.834,49654.136,5606.215814814823
2019-01-11 21:00:00,53527.117,28.0,1,21,4,56557.396,48546.449,5612.448074074076
2019-01-11 22:00:00,51504.601,27.0,1,22,4,54213.823,46866.513,5384.438962962966
2019-01-11 23:00:00,49232.722,27.0,1,23,4,51829.984,44514.116,5113.886370370376
2019-01-12 00:00:00,47462.723,27.0,1,0,5,50281.262,42671.346,5289.653222222223
2019-01-12 01:00:00,46306.307,28.0,1,1,5,49445.284,41329.566,5172.231185185177
2019-01-12 02:00:00,45641.093,28.0,1,2,5,49155.432,40688.738,5062.161148148152
2019-01-12 03:00:00,45254.003,28.0,1,3,5,49147.629,40366.057,4841.843555555555
2019-01-12 04:00:00,45599.862,28.0,1,4,5,50114.14,40823.112,4736.349666666676
2019-01-12 05:00:00,46435.898,28.0,1,5,5,52334.149,41636.335,4186.127851851852
2019-01-12 06:00:00,47908.44,28.0,1,6,5,56000.034,43123.491,3285.588555555558
2019-01-12 07:00:00,49810.39,28.0,1,7,5,58982.728,44824.51,2969.874814814815
2019-01-12 08:00:00,51107.399,27.0,1,8,5,59399.771,45854.938,3412.1611111111124
2019-01-12 09:00:00,52250.521,27.0,1,9,5,59094.252,46265.684,4143.3910000000105
2019-01-12 10:00:00,52811.41,27.0,1,10,5,58840.563,46007.583,4491.496407407416
2019-01-12 11:00:00,52825.217,28.0,1,11,5,58308.644,45672.166,4679.510740740741
2019-01-12 12:00:00,52404.108,28.0,1,12,5,57818.464,44742.809,4566.353518518517
2019-01-12 13:00:00,51990.636,28.9,1,13,5,57433.425,43710.215,4638.590444444439
2019-01-12 14:00:00,51630.747,30.0,1,14,5,56875.71,42648.029,4779.188444444437
2019-01-12 15:00:00,51619.226,30.0,1,15,5,56532.406,42147.833,5031.748074074079
2019-01-12 16:00:00,52024.171,30.0,1,16,5,56870.973,42496.234,4935.26703703704
2019-01-12 17:00:00,53685.077,30.0,1,17,5,58848.708,44826.502,4635.74822222221
2019-01-12 18:00:00,54467.476,28.9,1,18,5,60105.072,46667.502,4328.007592592599
2019-01-12 19:00:00,53670.362,30.0,1,19,5,59527.136,46549.535,3891.5127777777816
2019-01-12 20:00:00,52834.622,30.0,1,20,5,58902.042,46249.954,3713.171814814829
2019-01-12 21:00:00,51347.42,30.0,1,21,5,57310.829,45434.725,3432.7510740740763
2019-01-12 22:00:00,49712.883,30.0,1,22,5,54902.731,43979.089,3592.720962962965
2019-01-12 23:00:00,47739.393,30.0,1,23,5,52401.38,42199.969,3620.5573703703694
2019-01-13 00:00:00,46032.426,30.0,1,0,6,50661.126,40894.547,3859.356222222225
2019-01-13 01:00:00,44837.243,28.9,1,1,6,49796.553,39731.585,3703.167185185179
2019-01-13 02:00:00,44084.169,30.0,1,2,6,49186.75,39302.356,3505.237148148153
2019-01-13 03:00:00,43762.937,30.0,1,3,6,49142.278,39129.267,3350.7775555555563
2019-01-13 04:00:00,43858.711,30.0,1,4,6,49870.155,39169.129,2995.198666666678
2019-01-13 05:00:00,44515.319,30.0,1,5,6,51964.563,39911.352,2265.548851851854
2019-01-13 06:00:00,45439.567,30.0,1,6,6,55478.057,41189.341,816.7155555555582
2019-01-13 07:00:00,46726.019,30.0,1,7,6,58439.178,42730.546,0.0
2019-01-13 08:00:00,47653.375,28.9,1,8,6,58541.287,43694.432,0.0
2019-01-13 09:00:00,48628.088,28.9,1,9,6,57728.639,43972.764,520.9580000000133
2019-01-13 10:00:00,49005.273,30.0,1,10,6,56967.18,43673.311,685.3594074074135
2019-01-13 11:00:00,49080.942,32.0,1,11,6,56073.111,43196.979,935.2357407407472
2019-01-13 12:00:00,49257.213,32.0,1,12,6,54917.514,42948.53,1419.4585185185206
2019-01-13 13:00:00,48878.492,32.0,1,13,6,53815.356,42348.633,1526.4464444444384
2019-01-13 14:00:00,48740.546,32.0,1,14,6,52682.272,42004.55,1888.987444444436
2019-01-13 15:00:00,48883.532,30.9,1,15,6,52241.065,42035.176,2296.054074074076
2019-01-13 16:00:00,49665.622,32.0,1,16,6,52769.484,43214.29,2576.7180370370406
2019-01-13 17:00:00,51936.555,32.0,1,17,6,54922.509,46272.405,2887.2262222222125
2019-01-13 18:00:00,53707.472,32.0,1,18,6,56029.64,48099.46,3568.0035925925986
2019-01-13 19:00:00,53243.293,32.0,1,19,6,55443.287,48152.739,3464.4437777777785
2019-01-13 20:00:00,52619.352,32.0,1,20,6,54727.666,47926.503,3497.9018148148243
2019-01-13 21:00:00,51075.869,30.9,1,21,6,53527.117,46885.992,3161.200074074077
2019-01-13 22:00:00,49504.568,28.9,1,22,6,51504.601,45104.095,3384.405962962963
2019-01-13 23:00:00,47587.714,28.0,1,23,6,49232.722,43394.166,3468.878370370374
2019-01-14 00:00:00,46449.178,27.0,1,0,0,47462.723,42115.821,4276.108222222225
2019-01-14 01:00:00,45889.203,27.0,1,1,0,46306.307,41509.086,4755.127185185178
